Player,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Jeroen Zoet,Spezia,29,1991,6.7,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0
Guglielmo Vicario,Cagliari,23,1996,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Samir Ujkani,Torino,32,1988,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Pietro Terracciano,Fiorentina,30,1990,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ciprian TÄƒtÄƒruÈ™anu,Milan,34,1986,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
Wojciech SzczÄ™sny,Juventus,30,1990,29.7,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0
Thomas Strakosha,Lazio,25,1995,9.0,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,2,0
Marco Sportiello,Atalanta,28,1992,14.0,1,1,1,0,0,0,2,0.0,2,2,1,50.0,2,0,0,0,0,0,0,0,1,2,0
Åukasz Skorupski,Bologna,29,1991,28.0,0,0,0,0,0,0,3,0.0,3,3,0,0.0,3,0,0,0,0,0,0,0,0,1,5
Salvatore Sirigu,Torino,33,1987,32.0,0,0,0,0,0,0,2,0.0,2,7,0,0.0,7,0,0,0,0,0,0,0,0,0,2
Marco Silvestri,Hellas Verona,29,1991,34.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0
Luigi Sepe,Parma,29,1991,36.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,0
Simone Scuffet,Udinese,24,1996,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Pepe Reina,Lazio,37,1982,29.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,1,0,0,1,0,0,2,0
Federico Ravaglia,Bologna,20,1999,4.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0
Rafael,Spezia,38,1982,2.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
IonuÈ› Radu,Inter,23,1997,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ivan Provedel,Spezia,26,1994,29.0,0,0,0,0,0,0,5,0.0,5,11,1,9.1,11,0,0,0,0,0,0,0,0,1,3
Carlo Pinsoglio,Juventus,30,1990,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Mattia Perin,Genoa,27,1992,32.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0
Gianluca Pegolo,Sassuolo,39,1981,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ivor Pandur,Hellas Verona,20,2000,3.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Alberto Paleari,Genoa,27,1992,2.3,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0
Daniele Padelli,Inter,34,1985,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1
David Ospina,Napoli,31,1988,16.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Juan Musso,Udinese,26,1994,35.0,0,0,0,0,0,0,1,0.0,1,7,0,0.0,7,0,0,0,0,0,0,0,0,2,1
