Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,4,0,0,20,32,2,10,5,30,0,0,0,66,20,36,35.7,Matches
Keita BaldÃ©,sn SEN,FW,Sampdoria,25,1995,13.3,4,1,0,31,35,4,11,3,7,1,1,0,42,19,44,30.2,Matches
Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,4,0,0,58,134,21,22,8,26,3,1,0,142,79,122,39.3,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,1.5,0,0,0,3,2,0,0,0,1,0,0,0,8,0,1,0.0,Matches
Federico Bonazzoli,it ITA,FW,Torino,23,1997,6.3,2,0,0,11,19,4,3,2,4,0,0,0,34,4,10,28.6,Matches
Jayden Braaf,nl NED,FW,Udinese,17,2002,1.3,0,0,0,2,1,0,1,1,0,0,0,0,8,0,5,0.0,Matches
Felipe Caicedo,ec ECU,FW,Lazio,31,1988,10.3,5,0,0,26,17,8,0,2,8,0,0,0,44,31,28,52.5,Matches
Francesco Caputo,it ITA,FW,Sassuolo,32,1987,18.9,1,0,0,16,32,19,4,4,1,3,0,0,43,15,23,39.5,Matches
Samu Castillejo,es ESP,FW,Milan,25,1995,13.1,5,0,0,25,31,4,28,13,17,1,0,0,84,10,20,33.3,Matches
Alberto Cerri,it ITA,FW,Cagliari,24,1996,4.1,1,0,0,18,15,1,2,3,5,0,0,0,26,34,25,57.6,Matches
Antonio Cioffi,it ITA,FW,Napoli,17,2002,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Lorenzo Colombo,it ITA,FW,Milan,18,2002,1.0,0,0,0,1,0,3,1,1,2,0,0,0,6,3,3,50.0,Matches
Andreas Cornelius,dk DEN,FW,Parma,27,1993,21.1,4,0,0,35,48,15,11,1,5,1,0,0,77,142,89,61.5,Matches
JoaquÃ­n Correa,ar ARG,FW,Lazio,25,1994,21.5,3,1,1,24,52,5,9,9,10,3,0,0,93,12,33,26.7,Matches
Kiril Despodov,bg BUL,FW,Cagliari,23,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Mattia Destro,it ITA,FW,Genoa,29,1991,17.8,5,0,0,39,37,23,4,2,7,0,0,0,62,32,77,29.4,Matches
