Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Andrea Adorante,Parma,20,2000,0.1,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0
Kevin Agudelo,Spezia,21,1998,15.1,564,5,66,286,280,59,548,40,70,57.1,45,2,404,2721,1692,76,33,18,36,34,574,365,63.6,80
Keita BaldÃ©,Sampdoria,25,1995,13.3,499,6,23,225,286,88,481,14,26,53.8,14,0,356,1870,1096,61,16,22,42,22,739,403,54.5,135
Andrea Belotti,Torino,26,1993,32.1,1220,25,90,632,604,161,1164,51,94,54.3,51,1,845,4593,2927,162,71,22,90,62,1578,907,57.5,228
Federico Bonazzoli,Sampdoria,23,1997,1.5,39,0,3,24,17,5,37,2,2,100.0,2,0,28,258,156,6,3,1,1,3,41,25,61.0,10
Federico Bonazzoli,Torino,23,1997,6.3,234,3,16,124,108,27,219,5,11,45.5,5,0,162,661,217,11,5,2,12,9,255,165,64.7,55
Jayden Braaf,Udinese,17,2002,1.3,45,1,3,15,29,9,45,4,5,80.0,4,1,34,203,79,4,1,0,4,3,56,33,58.9,16
Felipe Caicedo,Lazio,31,1988,10.3,383,4,33,191,182,58,375,13,17,76.5,13,1,249,970,449,20,6,6,23,18,469,300,64.0,88
Francesco Caputo,Sassuolo,32,1987,18.9,567,4,36,267,280,123,517,5,9,55.6,5,1,346,1069,472,30,7,13,37,13,815,450,55.2,175
Samu Castillejo,Milan,25,1995,13.1,631,13,93,301,297,46,607,24,43,55.8,27,2,509,3199,1637,75,26,13,19,26,591,446,75.5,57
Alberto Cerri,Cagliari,24,1996,4.1,231,10,21,93,125,40,226,8,12,66.7,8,0,136,530,194,14,4,3,20,12,291,172,59.1,65
Antonio Cioffi,Napoli,17,2002,0.1,13,0,4,7,3,0,13,0,0,,0,0,8,44,11,1,0,0,0,0,11,9,81.8,3
Lorenzo Colombo,Milan,18,2002,1.0,26,2,5,11,13,5,26,0,1,0.0,0,0,14,89,52,4,1,1,2,3,32,14,43.8,0
Andreas Cornelius,Parma,27,1993,21.1,811,26,81,439,326,94,771,14,21,66.7,14,1,405,1724,559,36,9,8,64,29,1129,629,55.7,178
JoaquÃ­n Correa,Lazio,25,1994,21.5,1034,11,72,444,600,149,990,33,70,47.1,37,3,798,3948,2343,132,39,16,75,57,1164,837,71.9,246
Kiril Despodov,Cagliari,23,1996,0.1,3,0,0,2,1,0,3,0,1,0.0,0,0,1,0,0,0,0,0,0,0,5,1,20.0,1
Mattia Destro,Genoa,29,1991,17.8,498,9,47,277,203,78,471,22,45,48.9,25,2,291,1121,538,29,7,6,49,31,763,351,46.0,98
Gerard Deulofeu,Udinese,26,1994,6.6,315,5,28,102,206,45,287,10,21,47.6,10,0,248,1576,1120,71,9,22,15,9,345,238,69.0,50
Samuel Di Carmine,Hellas Verona,31,1988,5.6,221,6,14,120,94,32,210,1,1,100.0,1,0,130,602,214,16,4,4,20,12,331,177,53.5,66
Samuel Di Carmine,Crotone,31,1988,5.3,158,6,19,89,56,12,146,0,1,0.0,0,0,79,274,89,4,3,1,13,8,248,117,47.2,34
Amadou Diambo,Benevento,19,2001,0.0,9,0,0,7,3,0,9,2,3,66.7,2,0,10,31,2,0,0,0,0,0,9,8,88.9,0
Paulo Dybala,Juventus,26,1993,12.6,892,3,67,402,477,67,800,27,43,62.8,27,3,615,3068,1505,91,29,12,37,26,825,698,84.6,119
Edin DÅ¾eko,Roma,34,1986,20.3,771,19,38,360,420,140,729,25,52,48.1,28,2,471,2350,1288,78,25,20,61,42,1011,607,60.0,201
Diego Farias,Spezia,30,1990,16.8,799,6,88,369,391,81,786,24,33,72.7,27,0,617,3218,1687,104,21,28,27,12,837,659,78.7,106
Andrea Favilli,Hellas Verona,23,1997,3.8,163,3,7,76,87,27,158,3,9,33.3,4,0,115,396,143,7,2,4,18,24,256,132,51.6,62
Manolo Gabbiadini,Sampdoria,28,1991,9.7,311,6,40,159,131,30,305,5,8,62.5,5,1,206,920,468,29,10,5,17,6,415,247,59.5,50
Adolfo Gaich,Benevento,21,1999,8.5,261,4,16,142,120,39,254,9,20,45.0,11,4,139,560,242,12,5,2,25,13,409,187,45.7,65
Andrey Galabinov,Spezia,31,1988,4.8,157,5,12,87,65,16,137,3,3,100.0,3,0,85,385,206,8,3,2,16,12,207,110,53.1,34
Gervinho,Parma,33,1987,22.5,748,5,61,313,443,110,729,43,82,52.4,49,5,629,4072,2445,139,36,43,43,45,938,591,63.0,159
Emmanuel Gyasi,Spezia,26,1994,31.7,1244,22,141,597,606,114,1235,37,52,71.2,37,5,997,5184,2342,130,34,37,74,51,1545,975,63.1,197
Zlatan IbrahimoviÄ‡,Milan,38,1981,16.6,759,32,37,333,428,148,707,15,23,65.2,15,0,432,1831,1102,65,30,9,31,19,934,589,63.1,142
