Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Andrea Adorante,FW,Parma,20,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Kevin Agudelo,FW,Spezia,21,1998,15.1,232,320,72.5,4192,919,109,133,82.0,88,116,75.9,29,48,60.4,2,0.7,+1.3,11,18,12,0,30
Keita BaldÃ©,FW,Sampdoria,25,1995,13.3,237,317,74.8,3443,541,131,162,80.9,83,104,79.8,13,25,52.0,1,1.7,-0.7,18,12,8,1,19
Andrea Belotti,FW,Torino,26,1993,32.1,502,728,69.0,8185,1677,272,344,79.1,163,235,69.4,49,78,62.8,6,6.9,-0.9,34,34,40,6,57
Federico Bonazzoli,FW,Sampdoria,23,1997,1.5,20,28,71.4,347,63,9,13,69.2,9,12,75.0,2,2,100.0,1,0.9,+0.1,2,4,1,0,2
Federico Bonazzoli,FW,Torino,23,1997,6.3,129,155,83.2,2617,223,52,62,83.9,48,56,85.7,25,27,92.6,2,0.7,+1.3,3,6,4,0,6
Jayden Braaf,FW,Udinese,17,2002,1.3,23,31,74.2,344,45,11,13,84.6,8,11,72.7,2,2,100.0,0,0.1,-0.1,2,0,1,0,2
Felipe Caicedo,FW,Lazio,31,1988,10.3,200,267,74.9,2833,644,121,146,82.9,56,79,70.9,12,18,66.7,0,0.7,-0.7,11,21,4,0,19
Francesco Caputo,FW,Sassuolo,32,1987,18.9,327,421,77.7,4189,628,217,252,86.1,79,106,74.5,9,17,52.9,5,1.7,+3.3,16,11,7,0,19
Samu Castillejo,FW,Milan,25,1995,13.1,365,463,78.8,6300,1539,181,207,87.4,137,160,85.6,37,63,58.7,0,0.7,-0.7,10,23,16,4,37
Alberto Cerri,FW,Cagliari,24,1996,4.1,95,142,66.9,1530,281,56,73,76.7,29,46,63.0,8,12,66.7,0,0.8,-0.8,6,6,5,0,13
Antonio Cioffi,FW,Napoli,17,2002,0.1,10,11,90.9,130,13,7,7,100.0,3,3,100.0,0,0,,0,0.1,-0.1,1,0,1,0,1
Lorenzo Colombo,FW,Milan,18,2002,1.0,8,14,57.1,83,22,5,7,71.4,0,0,,1,2,50.0,0,0.0,0.0,0,0,1,1,0
Andreas Cornelius,FW,Parma,27,1993,21.1,409,585,69.9,6425,1080,225,300,75.0,133,188,70.7,37,55,67.3,4,2.9,+1.1,24,29,11,2,39
JoaquÃ­n Correa,FW,Lazio,25,1994,21.5,596,725,82.2,9663,1787,312,354,88.1,198,235,84.3,62,84,73.8,3,2.0,+1.0,28,39,20,0,53
Kiril Despodov,FW,Cagliari,23,1996,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Mattia Destro,FW,Genoa,29,1991,17.8,192,273,70.3,2793,482,121,155,78.1,38,66,57.6,20,30,66.7,1,0.6,+0.4,7,12,5,1,15
Gerard Deulofeu,FW,Udinese,26,1994,6.6,169,247,68.4,2516,647,100,123,81.3,51,73,69.9,11,28,39.3,1,1.1,-0.1,7,9,12,1,19
Samuel Di Carmine,FW,Hellas Verona,31,1988,5.6,97,157,61.8,1183,110,70,96,72.9,24,47,51.1,1,3,33.3,0,0.1,-0.1,4,4,2,0,4
Samuel Di Carmine,FW,Crotone,31,1988,5.3,79,102,77.5,1229,119,41,49,83.7,26,34,76.5,7,9,77.8,0,0.0,0.0,0,3,3,1,4
Amadou Diambo,FW,Benevento,19,2001,0.0,7,8,87.5,95,16,5,5,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,0
Paulo Dybala,FW,Juventus,26,1993,12.6,578,705,82.0,10079,2225,300,329,91.2,184,217,84.8,75,126,59.5,3,2.9,+0.1,31,43,26,4,68
Edin DÅ¾eko,FW,Roma,34,1986,20.3,342,511,66.9,5827,1220,189,262,72.1,93,135,68.9,46,64,71.9,3,2.5,+0.5,27,21,16,0,41
Diego Farias,FW,Spezia,30,1990,16.8,537,660,81.4,10126,2026,233,273,85.3,231,272,84.9,67,89,75.3,2,3.0,-1.0,31,29,21,4,62
Andrea Favilli,FW,Hellas Verona,23,1997,3.8,60,82,73.2,923,104,36,48,75.0,17,23,73.9,5,5,100.0,0,0.1,-0.1,2,2,1,0,3
Manolo Gabbiadini,FW,Sampdoria,28,1991,9.7,165,225,73.3,2725,833,86,114,75.4,59,74,79.7,16,24,66.7,2,1.8,+0.2,12,21,9,0,30
Adolfo Gaich,FW,Benevento,21,1999,8.5,90,141,63.8,1307,235,48,70,68.6,26,39,66.7,9,11,81.8,0,0.3,-0.3,5,2,4,1,7
Andrey Galabinov,FW,Spezia,31,1988,4.8,80,109,73.4,1268,149,41,55,74.5,25,36,69.4,9,12,75.0,1,0.2,+0.8,3,3,5,0,7
Gervinho,FW,Parma,33,1987,22.5,444,542,81.9,6551,1448,257,294,87.4,164,194,84.5,14,21,66.7,1,2.4,-1.4,27,27,18,3,46
Emmanuel Gyasi,FW,Spezia,26,1994,31.7,788,946,83.3,11137,1899,486,539,90.2,207,264,78.4,54,73,74.0,6,4.2,+1.8,28,22,29,6,59
Zlatan IbrahimoviÄ‡,FW,Milan,38,1981,16.6,394,558,70.6,5977,1652,203,271,74.9,140,188,74.5,28,45,62.2,2,1.5,+0.5,15,33,23,2,59
Ciro Immobile,FW,Lazio,30,1990,31.7,663,888,74.7,9810,1877,373,465,80.2,179,248,72.2,60,88,68.2,6,6.7,-0.7,54,31,31,2,62
Roberto Inglese,FW,Parma,28,1991,6.4,75,115,65.2,1110,232,42,55,76.4,24,39,61.5,5,8,62.5,2,1.0,+1.0,3,5,3,0,9
Lorenzo Insigne,FW,Napoli,29,1991,31.8,1486,1862,79.8,27327,7107,723,805,89.8,522,630,82.9,213,347,61.4,8,8.4,-0.4,64,112,88,13,182
Nikola KaliniÄ‡,FW,Hellas Verona,32,1988,11.8,162,232,69.8,2355,341,90,115,78.3,52,70,74.3,8,14,57.1,0,0.3,-0.3,7,7,5,0,14
Augustus Kargbo,FW,Crotone,20,1999,0.4,6,9,66.7,75,9,4,5,80.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0
Christian KouamÃ©,FW,Fiorentina,22,1997,11.1,248,330,75.2,3244,442,162,204,79.4,65,84,77.4,6,9,66.7,1,1.2,-0.2,10,9,7,1,13
Viktor Kovalenko,FW,Atalanta,24,1996,0.0,2,2,100.0,27,15,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
Antonino La Gumina,FW,Sampdoria,24,1996,3.8,49,72,68.1,691,108,23,35,65.7,20,24,83.3,1,3,33.3,0,0.0,0.0,0,3,2,0,3
Gianluca Lapadula,FW,Benevento,30,1990,28.5,344,485,70.9,4860,955,202,266,75.9,105,143,73.4,15,22,68.2,2,3.9,-1.9,31,11,14,1,37
Kevin Lasagna,FW,Udinese,27,1992,12.3,152,215,70.7,2310,396,93,116,80.2,40,55,72.7,11,17,64.7,1,0.6,+0.4,8,9,7,1,15
Kevin Lasagna,FW,Hellas Verona,27,1992,14.1,194,260,74.6,2636,339,129,148,87.2,42,62,67.7,12,23,52.2,0,1.1,-1.1,11,11,5,0,11
Rafael LeÃ£o,FW,Milan,21,1999,21.4,358,497,72.0,5727,1120,172,216,79.6,138,195,70.8,26,43,60.5,6,4.5,+1.5,27,15,27,6,39
Fernando Llorente,FW,Udinese,35,1985,7.9,162,221,73.3,2199,312,108,134,80.6,40,63,63.5,6,11,54.5,0,0.4,-0.4,6,9,0,0,7
Hirving Lozano,FW,Napoli,25,1995,21.8,460,635,72.4,6786,1459,270,330,81.8,150,210,71.4,24,52,46.2,3,4.6,-1.6,39,18,28,12,39
Romelu Lukaku,FW,Inter,27,1993,32.0,555,765,72.5,7500,1619,350,425,82.4,124,190,65.3,36,56,64.3,11,7.8,+3.2,50,35,39,4,69
Mario MandÅ¾ukiÄ‡,FW,Milan,34,1986,2.4,37,57,64.9,513,170,22,33,66.7,13,16,81.3,1,3,33.3,0,0.1,-0.1,2,1,0,0,2
Lautaro MartÃ­nez,FW,Inter,22,1997,28.5,422,583,72.4,6832,1633,227,293,77.5,121,161,75.2,42,60,70.0,6,4.5,+1.5,32,37,23,1,62
Giuseppe Mastinu,FW,Spezia,28,1991,0.4,9,12,75.0,156,53,6,7,85.7,2,3,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,1
Borja Mayoral,FW,Roma,23,1997,17.2,293,366,80.1,4926,687,157,187,84.0,91,111,82.0,36,45,80.0,3,1.7,+1.3,22,17,11,0,21
Gabriele Moncini,FW,Benevento,24,1996,4.0,52,85,61.2,761,126,29,47,61.7,17,24,70.8,3,6,50.0,0,0.1,-0.1,2,5,0,0,5
Ãlvaro Morata,FW,Juventus,27,1992,22.4,458,612,74.8,7744,1289,222,288,77.1,174,214,81.3,45,68,66.2,9,4.8,+4.2,40,30,25,4,49
Luis Muriel,FW,Atalanta,29,1991,16.0,510,724,70.4,8418,2226,268,315,85.1,180,246,73.2,48,113,42.5,7,4.7,+2.3,45,38,35,4,75
Vedat Muriqi,FW,Lazio,26,1994,9.2,177,251,70.5,2636,394,106,144,73.6,51,68,75.0,12,20,60.0,0,0.3,-0.3,5,12,5,0,19
Ilija Nestorovski,FW,Udinese,30,1990,7.8,148,197,75.1,2324,464,89,102,87.3,35,56,62.5,16,25,64.0,2,1.4,+0.6,14,12,4,1,12
Simeon Nwankwo,FW,Crotone,28,1992,32.7,545,704,77.4,8052,1108,306,366,83.6,176,227,77.5,31,46,67.4,2,1.8,+0.2,26,33,4,1,27
M'Bala Nzola,FW,Spezia,23,1996,21.1,410,482,85.1,6373,520,242,275,88.0,104,126,82.5,44,45,97.8,3,3.1,-0.1,21,14,6,0,11
Stefano Okaka,FW,Udinese,30,1989,16.5,249,306,81.4,3366,388,156,185,84.3,72,83,86.7,6,12,50.0,1,0.7,+0.3,9,7,8,0,13
Victor Osimhen,FW,Napoli,21,1998,17.5,176,251,70.1,2562,293,89,110,80.9,60,88,68.2,11,22,50.0,3,2.7,+0.3,23,3,3,1,10
Rodrigo Palacio,FW,Bologna,38,1982,27.8,740,979,75.6,11654,2341,408,478,85.4,243,319,76.2,61,103,59.2,5,4.1,+0.9,36,37,30,8,68
Leonardo Pavoletti,FW,Cagliari,31,1988,17.6,308,428,72.0,4291,489,183,245,74.7,78,108,72.2,23,34,67.6,3,0.4,+2.6,6,14,5,0,12
Graziano PellÃ¨,FW,Parma,35,1985,6.8,154,198,77.8,2221,386,96,115,83.5,41,55,74.5,11,12,91.7,2,1.9,+0.1,12,10,5,0,11
Andrea Petagna,FW,Napoli,25,1995,10.7,193,240,80.4,2910,412,113,134,84.3,57,69,82.6,15,18,83.3,3,2.0,+1.0,22,7,5,0,10
Roberto Piccoli,FW,Spezia,19,2001,7.8,97,143,67.8,1142,103,70,92,76.1,18,31,58.1,2,4,50.0,0,0.5,-0.5,3,2,2,0,3
Andrea Pinamonti,FW,Inter,21,1999,1.9,38,54,70.4,456,87,28,35,80.0,8,10,80.0,1,3,33.3,0,0.1,-0.1,2,2,1,0,4
Matteo Politano,FW,Napoli,26,1993,21.2,656,865,75.8,11009,2847,348,405,85.9,226,279,81.0,67,135,49.6,4,3.1,+0.9,37,31,28,5,69
Ignacio Pussetto,FW,Udinese,24,1995,8.4,128,193,66.3,1979,515,66,88,75.0,43,71,60.6,11,19,57.9,1,0.8,+0.2,6,5,5,1,12
Fabio Quagliarella,FW,Sampdoria,37,1983,24.5,366,538,68.0,6032,1202,184,237,77.6,117,163,71.8,40,71,56.3,1,1.5,-0.5,18,28,11,1,29
Simone Rabbi,FW,Bologna,18,2001,0.4,7,10,70.0,114,61,3,3,100.0,4,5,80.0,0,0,,1,0.0,+1.0,0,0,1,0,2
Antonio Raimondo,FW,Bologna,16,2004,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
Ante RebiÄ‡,FW,Milan,26,1993,19.7,307,483,63.6,4613,1302,170,233,73.0,87,141,61.7,26,49,53.1,4,5.3,-1.3,34,18,32,9,46
Franck RibÃ©ry,FW,Fiorentina,37,1983,23.9,772,894,86.4,13430,2849,382,420,91.0,290,326,89.0,88,103,85.4,6,4.5,+1.5,31,77,35,2,92
Federico Ricci,FW,Sassuolo,26,1994,0.0,4,4,100.0,61,10,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
Cristiano Ronaldo,FW,Juventus,35,1985,31.1,853,1086,78.5,12997,2825,485,575,84.3,289,357,81.0,55,87,63.2,2,2.8,-0.8,30,59,32,6,81
Alexis Saelemaekers,FW,Milan,21,1999,22.4,710,886,80.1,10209,2539,421,484,87.0,224,276,81.2,33,66,50.0,4,2.8,+1.2,31,42,21,7,63
Antonio Sanabria,FW,Torino,24,1996,10.9,206,270,76.3,3259,383,115,148,77.7,66,78,84.6,17,24,70.8,1,0.9,+0.1,9,10,7,1,11
Alexis SÃ¡nchez,FW,Inter,31,1988,12.7,414,529,78.3,7615,1964,199,240,82.9,130,168,77.4,75,99,75.8,5,5.9,-0.9,33,39,31,2,57
Federico Santander,FW,Bologna,29,1991,0.4,12,17,70.6,167,13,7,12,58.3,5,5,100.0,0,0,,1,0.3,+0.7,1,0,0,0,0
Riccardo Saponara,FW,Fiorentina,28,1991,0.6,38,42,90.5,590,96,23,25,92.0,12,13,92.3,3,4,75.0,0,0.1,-0.1,1,4,0,0,2
Gianluca Scamacca,FW,Genoa,21,1999,15.0,239,356,67.1,4010,506,135,179,75.4,66,106,62.3,27,42,64.3,2,1.7,+0.3,14,11,5,1,16
Eldor Shomurodov,FW,Genoa,25,1995,18.6,342,483,70.8,4738,866,214,270,79.3,93,133,69.9,14,27,51.9,1,2.0,-1.0,20,13,10,3,25
Luca Siligardi,FW,Parma,32,1988,0.4,15,22,68.2,244,19,9,12,75.0,5,5,100.0,1,4,25.0,0,0.0,0.0,1,0,0,0,0
Giovanni Simeone,FW,Cagliari,25,1995,19.3,253,343,73.8,3721,418,131,162,80.9,93,123,75.6,14,22,63.6,2,1.2,+0.8,11,8,3,1,9
Mattia Sprocati,FW,Parma,27,1993,0.2,5,5,100.0,85,7,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
Ernesto Torregrossa,FW,Sampdoria,28,1992,1.9,32,44,72.7,408,67,20,26,76.9,7,9,77.8,2,3,66.7,0,0.4,-0.4,3,1,1,0,1
Daniele Verde,FW,Spezia,24,1996,10.9,307,399,76.9,5767,1058,140,168,83.3,125,151,82.8,40,72,55.6,1,1.5,-0.5,10,9,11,2,25
Edoardo Vergani,FW,Bologna,19,2001,0.1,2,2,100.0,29,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0
DuÅ¡an VlahoviÄ‡,FW,Fiorentina,20,2000,32.5,422,619,68.2,6416,710,252,330,76.4,119,189,63.0,32,49,65.3,3,2.8,+0.2,17,14,10,1,21
DuvÃ¡n Zapata,FW,Atalanta,29,1991,26.4,624,814,76.7,8931,1142,381,456,83.6,192,239,80.3,26,49,53.1,9,6.5,+2.5,44,21,25,6,34
Simone Zaza,FW,Torino,29,1991,16.6,245,333,73.6,4004,459,118,150,78.7,90,118,76.3,24,35,68.6,0,1.4,-1.4,13,9,5,0,16
Musa Barrow,"FW,MF",Bologna,21,1998,32.5,838,1176,71.3,15746,3978,405,486,83.3,290,380,76.3,124,251,49.4,8,5.1,+2.9,58,77,32,12,89
