Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,24,1993,34.0,25,1,2,6,0,26.0,0.23,+1.0,+0.03,48,95,50.5,504,90,13.9,24.3,80,31.3,34.4,299,24,8.0,31,0.91,16.8,Matches
Diego Benaglio,ch SUI,GK,Monaco,33,1983,2.5,0,0,0,0,0,1.5,0.24,+1.5,+0.59,9,22,40.9,35,9,40.0,33.7,12,66.7,53.8,25,1,4.0,2,0.80,14.7,Matches
Walter Ben��tez,ar ARG,GK,Nice,24,1993,28.0,36,3,1,0,2,35.5,0.28,+1.5,+0.05,64,201,31.8,394,84,26.6,30.3,127,75.6,54.4,320,17,5.3,6,0.21,13.0,Matches
Quentin Beunardeau,fr FRA,GK,Metz,23,1994,0.4,2,0,0,0,0,1.7,0.43,-0.3,-0.70,6,16,37.5,16,2,87.5,50.7,2,100.0,71.5,6,0,0.0,0,0.00,13.0,Matches
Landry Bonnefoi,fr FRA,GK,Strasbourg,33,1983,3.0,6,0,0,1,0,5.5,0.33,-0.5,-0.16,17,42,40.5,39,8,59.0,43.1,26,73.1,50.9,33,0,0.0,0,0.00,10.5,Matches
Jean-Christophe Bouet,fr FRA,GK,Amiens,34,1983,1.0,1,0,0,0,0,1.1,0.19,+0.1,+0.14,2,15,13.3,12,2,58.3,48.8,8,100.0,62.6,11,3,27.3,0,0.00,18.0,Matches
Ludovic Butelle,fr FRA,GK,Angers,34,1983,18.4,22,3,1,1,1,20.5,0.26,-0.5,-0.03,63,228,27.6,303,63,48.8,40.4,89,89.9,60.6,175,21,12.0,23,1.25,17.5,Matches
Yoan Cardinale,fr FRA,GK,Nice,23,1994,10.0,16,0,1,1,1,13.5,0.31,-1.5,-0.15,33,71,46.5,158,26,22.8,27.0,42,83.3,57.6,95,3,3.2,3,0.30,14.3,Matches
Benoǩt Costil,fr FRA,GK,Bordeaux,30,1987,36.0,45,4,4,6,1,35.8,0.25,-8.2,-0.23,171,527,32.4,757,97,48.5,42.6,178,89.9,65.5,341,28,8.2,20,0.56,14.3,Matches
Abdoulaye Diallo,sn SEN,GK,Rennes,25,1992,3.0,5,1,1,0,0,6.9,0.37,+1.9,+0.64,9,32,28.1,53,10,37.7,36.2,12,100.0,64.2,19,3,15.8,2,0.67,18.9,Matches
Thomas Didillon,fr FRA,GK,Metz,21,1995,9.0,14,3,0,0,1,12.7,0.28,-0.3,-0.03,50,119,42.0,156,37,48.7,40.7,46,93.5,60.9,126,13,10.3,3,0.33,13.6,Matches
Maxime DupǸ,fr FRA,GK,Nantes,24,1993,1.0,3,1,0,1,0,1.9,0.25,-1.1,-1.11,7,13,53.8,8,1,62.5,46.9,8,100.0,65.4,13,2,15.4,1,1.00,13.8,Matches
Mathieu Gorgelin,fr FRA,GK,Lyon,26,1990,4.0,6,0,1,0,0,3.5,0.29,-2.5,-0.64,4,24,16.7,54,6,35.2,38.4,9,55.6,50.3,44,6,13.6,2,0.50,14.4,Matches
RǸgis Gurtner,fr FRA,GK,Amiens,30,1986,37.0,41,4,0,2,0,50.5,0.27,+9.5,+0.26,246,725,33.9,739,71,62.5,47.2,269,97.8,65.6,475,36,7.6,21,0.57,14.9,Matches
