"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Antonio AdÃ¡n","es ESP","GK","Betis",30,1987,30,30,"2,7","30.0",53,"1.77",128,82,"60.9",14,4,12,9,"30.0",4,3,1,0,"25.0","Matches"
"Sergio Ãlvarez","es ESP","GK","Celta Vigo",30,1986,17,16,"1,479","16.4",29,"1.76",77,50,"63.6",3,6,7,3,"18.8",1,1,0,0,"0.0","Matches"
"Jon Ander Serantes","es ESP","GK","LeganÃ©s",27,1989,1,1,90,"1.0",2,"2.00",9,7,"77.8",1,0,0,0,"0.0",0,0,0,0,,"Matches"
"Miguel Ãngel MoyÃ¡","es ESP","GK","Real Sociedad",33,1984,9,9,763,"8.5",8,"0.94",30,24,"80.0",3,2,4,2,"22.2",3,2,1,0,"33.3","Matches"
"Kepa Arrizabalaga","es ESP","GK","Athletic Club",22,1994,30,30,"2,7","30.0",43,"1.43",135,96,"68.9",7,9,14,7,"23.3",3,1,2,0,"66.7","Matches"
"Sergio Asenjo","es ESP","GK","Villarreal",28,1989,23,23,"2,07","23.0",30,"1.30",89,62,"69.7",12,3,8,6,"26.1",5,3,2,0,"40.0","Matches"
"Mariano Barbosa","ar ARG","GK","Villarreal",33,1984,13,12,"1,125","12.5",14,"1.12",47,34,"72.3",6,3,3,5,"41.7",1,1,0,0,"0.0","Matches"
"RubÃ©n Blanco","es ESP","GK","Celta Vigo",22,1995,22,22,"1,941","21.6",31,"1.44",90,62,"68.9",10,4,8,4,"18.2",4,3,0,1,"0.0","Matches"
"Yassine Bounou","ma MAR","GK","Girona",26,1991,30,30,"2,655","29.5",46,"1.56",136,95,"69.1",13,6,11,9,"30.0",5,4,0,1,"0.0","Matches"
"Kiko Casilla","es ESP","GK","Real Madrid",30,1986,10,10,900,"10.0",11,"1.10",32,22,"65.6",6,2,2,3,"30.0",0,0,0,0,,"Matches"
"Nereo Champagne","ar ARG","GK","LeganÃ©s",32,1985,2,2,180,"2.0",6,"3.00",9,4,"44.4",0,0,2,0,"0.0",1,1,0,0,"0.0","Matches"
"Leandro Chichizola","ar ARG","GK","Las Palmas",27,1990,27,27,"2,43","27.0",47,"1.74",152,109,"71.1",4,5,18,4,"14.8",3,3,0,0,"0.0","Matches"
"Jasper Cillessen","nl NED","GK","Barcelona",28,1989,1,1,90,"1.0",1,"1.00",7,6,"85.7",1,0,0,1,"100.0",0,0,0,0,,"Matches"
"IvÃ¡n CuÃ©llar","es ESP","GK","LeganÃ©s",33,1984,35,35,"3,15","35.0",43,"1.23",143,105,"73.4",11,8,18,14,"40.0",6,5,1,0,"16.7","Matches"
"Marko DmitroviÄ‡","rs SRB","GK","Eibar",25,1992,36,36,"3,24","36.0",49,"1.36",121,80,"62.8",13,8,15,10,"27.8",4,4,0,0,"0.0","Matches"
"Jaume DomÃ©nech","es ESP","GK","Valencia",26,1990,5,5,450,"5.0",5,"1.00",22,17,"77.3",4,0,1,2,"40.0",0,0,0,0,,"Matches"
"AndrÃ©s FernÃ¡ndez","es ESP","GK","Villarreal",30,1986,3,3,225,"2.5",6,"2.40",15,10,"66.7",0,1,2,0,"0.0",1,1,0,0,"0.0","Matches"
"RaÃºl FernÃ¡ndez","es ESP","GK","Levante",29,1988,11,11,990,"11.0",15,"1.36",53,38,"71.7",2,6,3,3,"27.3",0,0,0,0,,"Matches"
"Dani GimÃ©nez","es ESP","GK","Betis",34,1983,4,4,308,"3.4",0,"0.00",7,7,"100.0",3,0,0,3,"75.0",0,0,0,0,,"Matches"
"Vicente Guaita","es ESP","GK","Getafe",30,1987,33,33,"2,97","33.0",26,"0.79",108,83,"76.9",13,9,11,12,"36.4",3,1,1,1,"50.0","Matches"
"Iago HerrerÃ­n","es ESP","GK","Athletic Club",29,1988,8,8,720,"8.0",6,"0.75",26,22,"84.6",3,4,1,4,"50.0",3,2,1,0,"33.3","Matches"
"Gorka Iraizoz","es ESP","GK","Girona",36,1981,9,8,765,"8.5",13,"1.53",37,26,"64.9",1,3,4,2,"25.0",0,0,0,0,,"Matches"
"Maksym Koval","ua UKR","GK,MF","La CoruÃ±a",24,1992,2,2,121,"1.3",3,"2.23",5,2,"40.0",0,0,1,0,"0.0",0,0,0,0,,"Matches"
"RaÃºl Lizoain","es ESP","GK","Las Palmas",26,1991,11,11,990,"11.0",27,"2.45",61,36,"59.0",1,2,8,1,"9.1",2,2,0,0,"0.0","Matches"
"Diego LÃ³pez","es ESP","GK","Espanyol",35,1981,11,11,942,"10.5",11,"1.05",38,30,"73.7",3,4,2,3,"27.3",2,1,1,0,"50.0","Matches"
"Pau LÃ³pez","es ESP","GK","Espanyol",22,1994,28,27,"2,478","27.5",31,"1.13",128,100,"78.1",9,9,11,9,"33.3",5,3,1,1,"25.0","Matches"
"Pedro LÃ³pez","es ESP","GK","Betis",22,1995,5,4,412,"4.6",8,"1.75",18,10,"55.6",1,2,2,0,"0.0",0,0,0,0,,"Matches"
"Emiliano MartÃ­nez","ar ARG","GK","Getafe",24,1992,5,5,450,"5.0",7,"1.40",19,13,"68.4",2,1,2,2,"40.0",1,1,0,0,"0.0","Matches"
"Keylor Navas","cr CRC","GK","Real Madrid",30,1986,27,27,"2,43","27.0",31,"1.15",112,84,"74.1",16,7,4,7,"25.9",4,2,2,0,"50.0","Matches"
"Neto","br BRA","GK","Valencia",28,1989,33,33,"2,97","33.0",33,"1.00",150,120,"80.0",18,7,8,10,"30.3",5,3,2,0,"40.0","Matches"
"Jan Oblak","si SVN","GK","AtlÃ©tico Madrid",24,1993,37,37,"3,33","37.0",22,"0.59",126,106,"83.3",22,10,5,22,"59.5",4,1,3,0,"75.0","Matches"
"Oier OlazÃ¡bal","es ESP","GK","Levante",27,1989,26,26,"2,34","26.0",39,"1.50",117,86,"70.9",9,7,10,7,"26.9",6,5,0,1,"0.0","Matches"
"Fernando Pacheco","es ESP","GK","AlavÃ©s",25,1992,38,37,"3,36","37.3",50,"1.34",175,134,"75.4",15,2,20,12,"32.4",11,7,3,1,"30.0","Matches"
"Costel Pantilimon","ro ROU","GK","La CoruÃ±a",30,1987,6,6,540,"6.0",9,"1.50",23,16,"65.2",3,0,3,1,"16.7",1,1,0,0,"0.0","Matches"
"AndrÃ©s Prieto","es ESP","GK","MÃ¡laga",23,1993,4,4,360,"4.0",10,"2.50",18,10,"55.6",0,0,4,0,"0.0",2,2,0,0,"0.0","Matches"
"ToÃ±o RamÃ­rez","es ESP","GK","Real Sociedad",30,1986,4,3,316,"3.5",6,"1.71",11,5,"45.5",1,0,2,1,"33.3",0,0,0,0,,"Matches"
"Sergio Rico","es ESP","GK","Sevilla",23,1993,24,23,"2,157","24.0",39,"1.63",90,54,"60.0",10,4,10,9,"39.1",5,3,1,1,"25.0","Matches"
"Asier Riesgo","es ESP","GK","Eibar",33,1983,1,1,90,"1.0",1,"1.00",4,3,"75.0",1,0,0,0,"0.0",0,0,0,0,,"Matches"
"Roberto","es ESP","GK","MÃ¡laga",31,1986,34,34,"3,06","34.0",51,"1.50",144,97,"67.4",5,5,24,6,"17.6",5,4,1,0,"20.0","Matches"
"RubÃ©n","es ESP","GK","La CoruÃ±a",33,1984,28,27,"2,48","27.6",58,"2.10",137,83,"59.1",3,10,15,4,"14.8",3,2,1,0,"33.3","Matches"
"GerÃ³nimo Rulli","ar ARG","GK","Real Sociedad",25,1992,26,26,"2,34","26.0",45,"1.73",100,60,"59.0",10,5,11,6,"23.1",5,4,1,0,"20.0","Matches"
"Antonio Sivera","es ESP","GK","AlavÃ©s",20,1996,1,1,60,"0.7",1,"1.50",2,2,"50.0",0,0,0,0,"0.0",0,0,0,0,,"Matches"
"David Soria","es ESP","GK","Sevilla",24,1993,15,15,"1,263","14.0",19,"1.35",57,41,"70.2",7,3,4,5,"33.3",3,2,0,1,"0.0","Matches"
"Marc-AndrÃ© ter Stegen","de GER","GK","Barcelona",25,1992,37,37,"3,33","37.0",28,"0.76",129,103,"79.8",27,9,1,19,"51.4",2,2,0,0,"0.0","Matches"
"PrzemysÅ‚aw TytoÅ„","pl POL","GK","La CoruÃ±a",30,1987,2,1,98,"1.1",4,"3.67",5,1,"20.0",0,0,1,0,"0.0",0,0,0,0,,"Matches"
"Francis Uzoho","ng NGA","GK","La CoruÃ±a",18,1998,2,2,180,"2.0",2,"1.00",9,8,"88.9",0,1,1,1,"50.0",1,1,0,0,"0.0","Matches"
"Koke Vegas","es ESP","GK","Levante",21,1995,1,1,90,"1.0",4,"4.00",8,4,"50.0",0,0,1,0,"0.0",0,0,0,0,,"Matches"
"Axel Werner","ar ARG","GK","AtlÃ©tico Madrid",21,1996,1,1,90,"1.0",0,"0.00",3,3,"100.0",1,0,0,1,"100.0",0,0,0,0,,"Matches"
"Yoel","es ESP","GK","Eibar",28,1988,1,1,90,"1.0",1,"1.00",5,5,"80.0",1,0,0,0,"0.0",0,0,0,0,,"Matches"
"Luca Zidane","fr FRA","GK","Real Madrid",19,1998,1,1,90,"1.0",2,"2.00",4,2,"50.0",0,1,0,0,"0.0",0,0,0,0,,"Matches"
