Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Adrian,es ESP,GK,West Ham,30,1987,19.0,29,1,1,8,1,26.5,0.28,-1.5,-0.08,118,355,33.2,309,31,77.0,52.8,121,96.7,65.0,224,14,6.3,17,0.89,14.7,Matches
Asmir BegoviÄ‡,ba BIH,GK,Bournemouth,30,1987,38.0,61,2,2,8,0,54.8,0.32,-6.2,-0.16,178,523,34.0,693,171,50.1,41.9,198,88.9,62.8,434,34,7.8,11,0.29,13.2,Matches
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,2.5,1,0,0,0,0,1.4,0.29,+0.4,+0.17,2,7,28.6,49,8,8.2,25.8,4,75.0,52.8,14,0,0.0,3,1.20,18.9,Matches
Jack Butland,eng ENG,GK,Stoke City,24,1993,35.0,61,5,0,10,2,57.4,0.28,-1.6,-0.05,310,795,39.0,794,72,74.4,54.2,219,93.2,69.3,433,34,7.9,25,0.71,14.9,Matches
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3.0,4,0,0,0,0,3.3,0.33,-0.7,-0.24,11,32,34.4,74,9,33.8,32.2,9,77.8,55.2,23,1,4.3,2,0.67,18.5,Matches
Petr ÄŒech,cz CZE,GK,Arsenal,35,1982,33.8,48,5,0,8,0,48.0,0.34,0.0,0.00,135,359,37.6,699,164,39.5,37.9,109,76.1,58.3,318,39,12.3,28,0.83,15.9,Matches
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35.0,34,2,0,1,2,31.2,0.29,-0.8,-0.02,138,388,35.6,846,159,34.2,36.3,152,65.1,56.8,318,39,12.3,18,0.51,15.1,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10.0,15,3,0,0,2,15.8,0.31,+2.8,+0.28,65,197,33.0,215,26,64.2,48.3,66,89.4,63.9,107,13,12.1,6,0.60,14.4,Matches
Martin DÃºbravka,sk SVK,GK,Newcastle Utd,28,1989,12.0,11,0,0,0,0,13.9,0.36,+2.9,+0.24,44,174,25.3,220,25,52.3,43.1,64,92.2,67.3,125,16,12.8,11,0.92,15.9,Matches
Ederson,br BRA,GK,Manchester City,23,1993,35.5,26,0,1,1,1,22.6,0.28,-2.4,-0.07,112,207,54.1,850,125,18.8,27.9,75,62.7,54.7,178,25,14.0,47,1.32,19.0,Matches
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16.0,21,1,0,3,1,19.9,0.30,-0.1,-0.01,132,317,41.6,329,39,67.8,49.2,110,85.5,60.8,193,18,9.3,7,0.44,13.7,Matches
Åukasz FabiaÅ„ski,pl POL,GK,Swansea City,32,1985,38.0,56,3,1,7,2,58.6,0.29,+4.6,+0.12,251,662,37.9,782,102,56.8,46.3,236,92.4,67.2,446,41,9.2,14,0.37,13.7,Matches
Fraser Forster,eng ENG,GK,Southampton,29,1988,20.0,30,0,1,3,1,27.4,0.28,-1.6,-0.08,86,301,28.6,317,52,63.1,49.6,115,87.8,66.1,189,12,6.3,7,0.35,12.9,Matches
Ben Foster,eng ENG,GK,West Brom,34,1983,37.0,55,1,3,7,1,50.2,0.33,-3.8,-0.10,267,711,37.6,670,51,75.2,53.9,213,97.2,72.2,463,28,6.0,15,0.41,14.1,Matches
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1.0,0,0,0,0,0,0.7,0.22,+0.7,+0.65,2,7,28.6,16,2,37.5,36.6,3,33.3,43.7,7,2,28.6,0,0.00,21.0,Matches
David de Gea,es ESP,GK,Manchester Utd,26,1990,37.0,28,1,1,5,2,33.9,0.24,+7.9,+0.21,194,511,38.0,663,99,52.3,43.0,194,84.5,62.7,346,23,6.6,17,0.46,13.5,Matches
Heurelho Gomes,br BRA,GK,Watford,36,1981,23.6,40,3,1,4,1,34.3,0.33,-4.7,-0.20,156,393,39.7,474,89,62.4,47.4,108,89.8,67.5,253,27,10.7,14,0.59,15.2,Matches
Lee Grant,eng ENG,GK,Stoke City,34,1983,3.0,7,0,0,1,0,4.5,0.32,-2.5,-0.83,23,49,46.9,59,11,64.4,49.0,12,91.7,69.4,23,2,8.7,3,1.00,19.7,Matches
Ben Hamer,eng ENG,GK,Leicester City,29,1987,3.1,7,1,0,0,0,4.7,0.30,-2.3,-0.76,14,35,40.0,56,13,46.4,42.3,10,90.0,64.7,28,1,3.6,0,0.00,15.2,Matches
Joe Hart,eng ENG,GK,West Ham,30,1987,19.0,39,4,0,3,0,35.5,0.37,-3.5,-0.18,148,386,38.3,386,38,73.8,54.3,103,98.1,73.2,198,17,8.6,8,0.42,14.3,Matches
Tom Heaton,eng ENG,GK,Burnley,31,1986,3.4,4,0,0,2,0,4.3,0.33,+0.3,+0.09,23,63,36.5,70,18,65.7,53.8,22,77.3,65.3,30,2,6.7,0,0.00,11.2,Matches
Wayne Hennessey,wal WAL,GK,Crystal Palace,30,1987,27.0,41,1,1,7,2,39.3,0.31,+0.3,+0.01,193,508,38.0,482,75,71.2,54.1,173,95.4,75.2,308,25,8.1,14,0.52,13.9,Matches
Eldin JakupoviÄ‡,ch SUI,GK,Leicester City,32,1984,2.0,6,0,0,0,1,5.0,0.43,0.0,0.00,10,26,38.5,33,7,60.6,53.6,7,85.7,66.4,19,1,5.3,4,2.00,15.6,Matches
Loris Karius,de GER,GK,Liverpool,24,1993,19.0,14,2,0,3,0,15.2,0.31,+1.2,+0.06,63,205,30.7,480,87,35.2,35.4,53,67.9,53.4,161,15,9.3,12,0.63,15.9,Matches
Orestis Karnezis,gr GRE,GK,Watford,32,1985,14.4,24,3,0,2,0,21.4,0.37,-2.6,-0.18,93,261,35.6,267,21,80.9,55.1,47,95.7,64.1,139,11,7.9,5,0.35,14.0,Matches
Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36.0,35,2,1,8,0,36.2,0.29,+1.2,+0.03,145,339,42.8,835,144,31.9,34.8,121,60.3,48.9,310,26,8.4,34,0.94,16.5,Matches
Jonas LÃ¶ssl,dk DEN,GK,Huddersfield,28,1989,38.0,57,4,0,6,1,56.1,0.34,-0.9,-0.02,326,793,41.1,956,79,62.6,48.8,217,89.9,67.4,343,27,7.9,43,1.13,17.6,Matches
Alex McCarthy,eng ENG,GK,Southampton,27,1989,18.0,26,1,0,4,0,22.8,0.35,-3.2,-0.18,83,272,30.5,245,39,67.3,50.4,110,97.3,68.8,207,24,11.6,4,0.22,12.6,Matches
