Player,Cmp%
Michel Vorm,89.3
Juliǭn Speroni,45.3
Kasper Schmeichel,52.4
Mathew Ryan,52.1
Sergio Romero,77.8
Nick Pope,42.9
Jordan Pickford,50.6
David Ospina,79.0
Boaz Myhill,53.3
Simon Mignolet,73.0
Alex McCarthy,45.4
Jonas Lossl,58.7
Hugo Lloris,78.2
Orestis Karnezis,45.5
Loris Karius,71.9
Eldin Jakupovi�?,55.0
Wayne Hennessey,50.5
Tom Heaton,56.5
Joe Hart,49.9
Ben Hamer,65.2
Lee Grant,63.4
Heurelho Gomes,57.2
David de Gea,62.2
Paulo Gazzaniga,73.7
Ben Foster,48.5
Fraser Forster,48.8
"�?ukasz Fabia�""ski",58.0
Rob Elliot,55.8
Ederson,88.2
Martin Dǧbravka,53.5
Karl Darlow,50.9
Thibaut Courtois,73.5
Petr �?ech,69.8
Willy Caballero,73.5
Jack Butland,49.6
Claudio Bravo,88.7
Asmir Begovi�?,58.7
Adrian,43.5
