Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Adrian,es ESP,GK,West Ham,30,1987,19,19,"1,71",19.0,29,1.53,95,68,70.5,7,6,6,6,31.6,1,1,0,0,0.0,Matches
Asmir BegoviÄ‡,ba BIH,GK,Bournemouth,30,1987,38,38,"3,42",38.0,61,1.61,173,114,65.9,11,11,16,6,15.8,4,2,1,1,33.3,Matches
Claudio Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,1,0.40,5,4,80.0,2,0,0,1,50.0,0,0,0,0,,Matches
Jack Butland,eng ENG,GK,Stoke City,24,1993,35,35,"3,15",35.0,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0.0,Matches
Willy Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3.0,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,Matches
Petr ÄŒech,cz CZE,GK,Arsenal,35,1982,34,34,"3,039",33.8,48,1.42,129,86,66.7,16,6,12,11,32.4,6,5,1,0,16.7,Matches
Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,"3,15",35.0,34,0.97,103,73,68.9,20,6,9,15,42.9,2,2,0,0,0.0,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10.0,15,1.50,43,32,72.1,1,5,4,2,20.0,3,3,0,0,0.0,Matches
Martin DÃºbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,"1,08",12.0,11,0.92,37,26,70.3,6,1,5,4,33.3,1,0,1,0,100.0,Matches
Ederson,br BRA,GK,Manchester City,23,1993,36,36,"3,194",35.5,26,0.73,79,54,67.1,30,4,2,16,44.4,3,0,2,1,100.0,Matches
Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,"1,44",16.0,21,1.31,62,43,67.7,5,2,9,3,18.8,2,1,1,0,50.0,Matches
Åukasz FabiaÅ„ski,pl POL,GK,Swansea City,32,1985,38,38,"3,42",38.0,56,1.47,191,140,72.3,8,9,21,9,23.7,7,3,3,1,50.0,Matches
Fraser Forster,eng ENG,GK,Southampton,29,1988,20,20,"1,8",20.0,30,1.50,96,66,68.8,4,7,9,4,20.0,1,0,1,0,100.0,Matches
Ben Foster,eng ENG,GK,West Brom,34,1983,37,37,"3,33",37.0,55,1.49,152,99,64.5,6,12,19,10,27.0,1,1,0,0,0.0,Matches
Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
David de Gea,es ESP,GK,Manchester Utd,26,1990,37,37,"3,33",37.0,28,0.76,140,115,80.7,24,6,7,18,48.6,1,1,0,0,0.0,Matches
Heurelho Gomes,br BRA,GK,Watford,36,1981,24,24,"2,128",23.6,40,1.69,98,62,62.2,7,5,12,5,20.8,3,3,0,0,0.0,Matches
Lee Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,1,33.3,0,0,0,0,,Matches
Ben Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,3.1,7,2.29,13,7,53.8,0,1,2,1,33.3,1,1,0,0,0.0,Matches
Joe Hart,eng ENG,GK,West Ham,30,1987,19,19,"1,71",19.0,39,2.05,88,53,60.2,3,6,10,4,21.1,5,4,1,0,20.0,Matches
Tom Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,3.4,4,1.18,13,9,69.2,1,1,1,0,0.0,0,0,0,0,,Matches
Wayne Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,"2,43",27.0,41,1.52,128,90,68.8,8,6,13,7,25.9,1,1,0,0,0.0,Matches
Eldin JakupoviÄ‡,ch SUI,GK,Leicester City,32,1984,2,2,180,2.0,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,,Matches
Loris Karius,de GER,GK,Liverpool,24,1993,19,19,"1,71",19.0,14,0.74,42,30,71.4,11,5,3,10,52.6,3,2,1,0,33.3,Matches
Orestis Karnezis,gr GRE,GK,Watford,32,1985,15,14,"1,292",14.4,24,1.67,52,31,59.6,4,3,7,4,28.6,3,3,0,0,0.0,Matches
Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,36,"3,24",36.0,35,0.97,120,86,72.5,22,7,7,15,41.7,3,2,1,0,33.3,Matches
Jonas LÃ¶ssl,dk DEN,GK,Huddersfield,28,1989,38,38,"3,42",38.0,57,1.50,154,101,65.6,9,10,19,10,26.3,6,4,2,0,33.3,Matches
