Player,Cmp%
Emiliano Viviano,65.7
Wojciech SzczÄ™sny,79.3
Thomas Strakosha,73.4
Marco Sportiello,73.7
Stefano Sorrentino,63.3
Åukasz Skorupski,80.6
Salvatore Sirigu,70.6
Marco Silvestri,77.6
Luigi Sepe,94.7
Simone Scuffet,56.4
Antonio Santurro,42.9
Francesco Rossi,100.0
Pepe Reina,80.9
Rafael,57.5
Christian Puggioni,72.7
Carlo Pinsoglio,83.3
Mattia Perin,58.6
Gianluca Pegolo,42.1
Antonio Mirante,69.5
Vanja MilinkoviÄ‡-SaviÄ‡,65.3
Alex Meret,58.0
Eugenio Lamanna,60.0
Samir HandanoviÄ‡,83.2
Alfred Gomis,57.4
Pierluigi Gollini,85.9
BartÅ‚omiej DrÄ…gowski,55.8
Gianluigi Donnarumma,78.4
Luca Crosta,54.2
Alessio Cragno,62.3
Angelo da Costa JÃºnior,68.9
Alex Cordaz,46.5
Andrea Consigli,66.1
Gianluigi Buffon,79.3
Alberto Brignoli,61.2
Albano Bizzarri,63.5
Etrit Berisha,67.8
Vid Belec,65.1
NÃ­colas Andrade,58.7
Alisson,81.6
