Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson,br BRA,GK,Roma,24,1992,37,37,"3,33",37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0,Matches
NÃ­colas Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,"3,24",36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0,Matches
Vid Belec,si SVN,GK,Benevento,27,1990,13,13,"1,113",12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0,Matches
Etrit Berisha,al ALB,GK,Atalanta,28,1989,31,31,"2,79",31.0,34,1.10,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50.0,Matches
Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32,32,"2,88",32.0,52,1.62,137,91,63.5,11,4,17,8,25.0,5,2,2,1,50.0,Matches
Alberto Brignoli,it ITA,GK,Benevento,25,1991,13,11,"1,126",12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0.0,Matches
Gianluigi Buffon,it ITA,GK,Juventus,39,1978,21,21,"1,862",20.7,14,0.68,58,48,81.0,17,2,2,11,52.4,4,3,1,0,25.0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,30,1987,37,37,"3,316",36.8,58,1.57,172,117,67.4,11,10,16,10,27.0,3,2,1,0,33.3,Matches
Alex Cordaz,it ITA,GK,Crotone,34,1983,38,38,"3,42",38.0,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3,Matches
Angelo da Costa JÃºnior,br BRA,GK,Bologna,33,1983,4,4,360,4.0,5,1.25,16,12,75.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches
Alessio Cragno,it ITA,GK,Cagliari,23,1994,29,29,"2,536",28.2,47,1.67,121,80,66.1,7,4,17,7,24.1,10,6,2,2,25.0,Matches
Luca Crosta,it ITA,GK,Cagliari,19,1998,1,1,90,1.0,3,3.00,2,0,0.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,18,1999,38,38,"3,42",38.0,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0.0,Matches
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Fiorentina,19,1997,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0.0,0,0,0,0,,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,,Matches
Alfred Gomis,sn SEN,GK,SPAL,23,1993,26,25,"2,261",25.1,43,1.71,136,99,72.8,6,7,12,3,12.0,7,6,1,0,14.3,Matches
Samir HandanoviÄ‡,si SVN,GK,Inter,33,1984,38,38,"3,42",38.0,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0.0,Matches
Eugenio Lamanna,it ITA,GK,Genoa,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Alex Meret,it ITA,GK,SPAL,20,1997,13,13,"1,158",12.9,16,1.24,56,45,76.8,2,7,4,4,30.8,6,3,2,1,40.0,Matches
Vanja MilinkoviÄ‡-SaviÄ‡,rs SRB,GK,Torino,20,1997,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
Antonio Mirante,it ITA,GK,Bologna,34,1983,33,33,"2,97",33.0,46,1.39,143,100,69.2,10,5,18,7,21.2,3,2,0,1,0.0,Matches
