"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"Antonio AdÃ¡n","es ESP","GK","AtlÃ©tico Madrid",31,1987,"1.0",2,0,0,0,0,"2.1","0.30","+0.1","+0.12",4,16,"25.0",14,3,"57.1","40.9",10,"80.0","55.4",9,0,"0.0",0,"0.00","15.3","Matches"
"Sergio Ãlvarez","es ESP","GK","Celta Vigo",31,1986,"13.0",22,2,1,2,1,"18.2","0.29","-2.8","-0.22",102,248,"41.1",320,43,"48.8","40.3",124,"74.2","55.1",146,10,"6.8",4,"0.31","12.2","Matches"
"Miguel Ãngel MoyÃ¡","es ESP","GK","Real Sociedad",34,1984,"11.0",11,0,0,1,0,"9.9","0.31","-1.1","-0.10",84,150,"56.0",285,33,"35.1","34.3",77,"64.9","46.5",122,13,"10.7",12,"1.09","17.6","Matches"
"Sergio Asenjo","es ESP","GK","Villarreal",29,1989,"32.0",45,2,2,4,3,"46.2","0.27","+4.2","+0.13",187,460,"40.7",554,128,"50.9","42.7",251,"70.9","55.4",388,39,"10.1",21,"0.66","14.7","Matches"
"RubÃ©n Blanco","es ESP","GK","Celta Vigo",23,1995,"25.0",40,4,2,3,0,"36.7","0.32","-3.3","-0.13",170,450,"37.8",593,113,"47.9","42.0",220,"75.5","59.9",247,9,"3.6",25,"1.00","17.5","Matches"
"Yassine Bounou","ma MAR","GK","Girona",27,1991,"31.8",43,6,2,6,1,"46.3","0.26","+4.3","+0.13",190,496,"38.3",708,142,"46.0","40.6",255,"66.7","52.8",320,23,"7.2",13,"0.41","13.2","Matches"
"Leandro Chichizola","ar ARG","GK","Getafe",28,1990,"1.0",1,0,0,0,0,"0.7","0.68","-0.3","-0.32",9,23,"39.1",23,3,"87.0","57.4",3,"100.0","77.7",6,1,"16.7",2,"2.00","17.8","Matches"
"Jasper Cillessen","nl NED","GK","Barcelona",29,1989,"3.0",4,1,0,0,0,"4.2","0.25","+0.2","+0.06",14,24,"58.3",90,15,"18.9","27.5",25,"28.0","32.1",32,1,"3.1",6,"2.00","18.3","Matches"
"Thibaut Courtois","be BEL","GK","Real Madrid",26,1992,"27.0",36,6,0,3,0,"32.5","0.29","-3.5","-0.13",110,289,"38.1",651,166,"31.0","34.4",180,"48.3","45.7",188,19,"10.1",11,"0.41","14.2","Matches"
"IvÃ¡n CuÃ©llar","es ESP","GK","LeganÃ©s",34,1984,"33.9",38,2,2,2,1,"36.4","0.32","-0.6","-0.02",317,774,"41.0",782,92,"68.2","51.4",269,"89.6","66.1",364,26,"7.1",20,"0.59","14.4","Matches"
"Javier DÃ­az","es ESP","GK","Sevilla",21,1997,"1.0",1,1,0,0,0,"0.7",,"-0.3","-0.31",5,13,"38.5",19,3,"47.4","39.5",5,"80.0","57.0",9,0,"0.0",1,"1.00","14.2","Matches"
"Stole Dimitrievski","mk MKD","GK","Rayo Vallecano",24,1993,"21.0",35,6,0,6,0,"32.6","0.29","-2.4","-0.12",172,370,"46.5",479,112,"54.1","42.6",169,"65.7","51.4",231,18,"7.8",7,"0.33","12.9","Matches"
"Marko DmitroviÄ‡","rs SRB","GK","Eibar",26,1992,"24.0",30,3,2,3,0,"27.6","0.31","-2.4","-0.10",206,577,"35.7",593,67,"73.2","55.4",155,"92.3","74.2",183,15,"8.2",39,"1.63","17.0","Matches"
"Jaume DomÃ©nech","es ESP","GK","Valencia",27,1990,"4.0",1,0,0,1,0,"2.0","0.17","+1.0","+0.25",27,59,"45.8",64,19,"50.0","38.9",30,"90.0","58.1",42,2,"4.8",1,"0.25","11.9","Matches"
"Aitor FernÃ¡ndez","es ESP","GK","Levante",27,1991,"16.0",24,4,0,4,2,"23.1","0.27","+1.1","+0.07",104,282,"36.9",292,74,"56.5","44.3",163,"71.8","53.1",142,8,"5.6",9,"0.56","13.4","Matches"
"AndrÃ©s FernÃ¡ndez","es ESP","GK","Villarreal",31,1986,"6.0",7,1,0,1,0,"8.6","0.34","+1.6","+0.26",52,105,"49.5",138,18,"51.4","42.2",49,"69.4","50.3",70,5,"7.1",6,"1.00","14.9","Matches"
"Alberto GarcÃ­a","es ESP","GK","Rayo Vallecano",33,1985,"17.0",35,1,0,5,2,"29.6","0.32","-3.4","-0.20",137,279,"49.1",408,82,"47.8","40.8",124,"67.7","50.9",187,11,"5.9",9,"0.53","14.4","Matches"
"Iago HerrerÃ­n","es ESP","GK","Athletic Club",30,1988,"31.0",32,3,0,4,0,"27.5","0.30","-4.5","-0.15",352,767,"45.9",777,85,"73.1","52.6",213,"93.4","69.1",299,22,"7.4",26,"0.84","16.0","Matches"
"Gorka Iraizoz","es ESP","GK","Girona",37,1981,"6.2",10,2,0,1,1,"14.2","0.36","+5.2","+0.83",51,126,"40.5",164,45,"52.4","42.4",65,"61.5","46.5",75,7,"9.3",2,"0.32","11.9","Matches"
