"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"Alisson","br BRA","GK","Liverpool",25,1992,"38.0",22,0,0,5,0,"26.9","0.28","+4.9","+0.13",196,394,"49.7",1054,197,"27.0","32.4",208,"52.4","46.3",278,22,"7.9",37,"0.97","16.6","Matches"
"Kepa Arrizabalaga","es ESP","GK","Chelsea",23,1994,"36.0",39,1,0,6,0,"37.5","0.31","-1.5","-0.04",175,313,"55.9",888,164,"22.4","29.0",248,"46.0","41.4",250,19,"7.6",23,"0.64","15.9","Matches"
"Asmir BegoviÄ‡","ba BIH","GK","Bournemouth",31,1987,"24.0",47,2,0,6,2,"36.2","0.35","-8.8","-0.37",136,332,"41.0",461,120,"45.1","40.0",172,"72.1","56.1",226,20,"8.8",10,"0.42","13.6","Matches"
"Marcus Bettinelli","eng ENG","GK","Fulham",26,1992,"7.0",20,1,0,1,0,"16.9","0.40","-3.1","-0.44",60,141,"42.6",173,28,"50.9","42.2",64,"82.8","59.0",72,7,"9.7",4,"0.57","14.7","Matches"
"Artur Boruc","pl POL","GK","Bournemouth",38,1980,"12.0",18,3,2,2,0,"16.9","0.28","-1.1","-0.09",64,186,"34.4",236,59,"45.3","40.9",114,"69.3","53.7",125,4,"3.2",4,"0.33","13.5","Matches"
"David Button","eng ENG","GK","Brighton",29,1989,"4.0",5,2,0,0,0,"5.9","0.28","+0.9","+0.22",29,87,"33.3",73,9,"74.0","52.5",35,"94.3","68.8",32,1,"3.1",0,"0.00","11.0","Matches"
"Willy Caballero","ar ARG","GK","Chelsea",36,1981,"2.0",0,0,0,0,0,"0.4","0.14","+0.4","+0.20",14,26,"53.8",47,9,"29.8","31.1",16,"75.0","48.9",18,4,"22.2",0,"0.00","8.8","Matches"
"Petr ÄŒech","cz CZE","GK","Arsenal",36,1982,"6.5",9,0,0,1,0,"10.5","0.30","+1.5","+0.24",25,92,"27.2",201,38,"32.3","34.8",41,"65.9","53.0",67,8,"11.9",4,"0.62","17.1","Matches"
"Joel Coleman","eng ENG","GK","Huddersfield",22,1995,"1.0",1,0,0,0,0,"0.8","0.27","-0.2","-0.19",6,30,"20.0",31,0,"77.4","54.8",6,"100.0","68.3",10,0,"0.0",0,"0.00","12.7","Matches"
"Martin DÃºbravka","sk SVK","GK","Newcastle Utd",29,1989,"38.0",48,6,2,10,1,"50.6","0.34","+3.6","+0.10",272,722,"37.7",836,144,"54.2","43.5",316,"85.1","62.8",408,35,"8.6",23,"0.61","13.3","Matches"
"Ederson","br BRA","GK","Manchester City",24,1993,"38.0",23,4,1,5,0,"26.9","0.32","+3.9","+0.10",137,277,"49.5",901,172,"21.5","29.7",170,"48.8","49.4",177,17,"9.6",27,"0.71","17.1","Matches"
"Neil Etheridge","ph PHI","GK","Cardiff City",28,1990,"38.0",69,4,1,12,0,"69.0","0.32","0.0","0.00",333,1103,"30.2",869,49,"90.4","61.6",319,"99.4","70.6",299,22,"7.4",38,"1.00","16.2","Matches"
"Åukasz FabiaÅ„ski","pl POL","GK","West Ham",33,1985,"38.0",55,4,0,10,1,"65.4","0.33","+11.4","+0.30",316,848,"37.3",901,142,"62.9","49.4",303,"92.7","68.7",376,36,"9.6",16,"0.42","13.6","Matches"
"Fabricio","es ESP","GK","Fulham",30,1987,"2.0",5,0,1,0,0,"6.1","0.27","+1.1","+0.55",13,26,"50.0",42,12,"42.9","36.8",8,"100.0","57.1",19,0,"0.0",2,"1.00","16.4","Matches"
"Fraser Forster","eng ENG","GK","Southampton",30,1988,"1.0",3,0,0,0,0,"1.9","0.32","-1.1","-1.08",5,18,"27.8",16,4,"68.8","47.9",7,"100.0","74.3",4,0,"0.0",0,"0.00","10.0","Matches"
"Ben Foster","eng ENG","GK","Watford",35,1983,"38.0",59,4,2,7,3,"56.8","0.32","+0.8","+0.02",360,973,"37.0",942,99,"73.8","52.5",300,"92.7","68.8",374,35,"9.4",42,"1.11","15.9","Matches"
"Paulo Gazzaniga","ar ARG","GK","Tottenham",26,1992,"3.0",2,0,0,0,0,"4.1","0.31","+2.1","+0.70",16,48,"33.3",80,12,"35.0","34.7",25,"80.0","59.9",35,2,"5.7",1,"0.33","14.7","Matches"
"David de Gea","es ESP","GK","Manchester Utd",27,1990,"38.0",54,6,2,7,3,"51.9","0.28","+0.9","+0.02",311,667,"46.6",756,143,"53.0","43.8",331,"80.4","60.5",310,19,"6.1",13,"0.34","12.6","Matches"
"Vicente Guaita","es ESP","GK","Crystal Palace",31,1987,"19.5",23,1,0,2,1,"20.9","0.25","-1.1","-0.06",134,418,"32.1",401,84,"60.6","47.4",191,"91.6","64.0",200,17,"8.5",4,"0.21","12.2","Matches"
"Angus Gunn","eng ENG","GK","Southampton",22,1996,"12.0",18,0,0,4,0,"15.8","0.32","-2.2","-0.19",73,257,"28.4",215,15,"80.0","55.9",92,"92.4","67.4",103,7,"6.8",8,"0.67","13.8","Matches"
"Ben Hamer","eng ENG","GK","Huddersfield",30,1987,"6.1",21,3,2,2,1,"15.7","0.35","-4.3","-0.70",57,155,"36.8",150,10,"78.0","53.4",44,"86.4","62.4",54,5,"9.3",2,"0.33","13.7","Matches"
"Joe Hart","eng ENG","GK","Burnley",31,1987,"19.0",41,1,1,8,1,"36.7","0.31","-3.3","-0.17",178,486,"36.6",413,43,"78.9","56.5",167,"95.8","72.0",199,11,"5.5",12,"0.63","13.9","Matches"
"Tom Heaton","eng ENG","GK","Burnley",32,1986,"19.0",27,1,1,2,3,"23.1","0.27","-0.9","-0.05",176,473,"37.2",414,45,"77.3","55.1",172,"89.0","66.1",230,11,"4.8",14,"0.74","15.4","Matches"
"Wayne Hennessey","wal WAL","GK","Crystal Palace",31,1987,"17.5",26,3,1,5,0,"22.0","0.30","-4.0","-0.23",114,339,"33.6",355,57,"62.8","49.6",133,"87.2","69.9",187,10,"5.3",13,"0.74","15.9","Matches"
"Bernd Leno","de GER","GK","Arsenal",26,1992,"31.5",42,7,1,4,2,"44.0","0.28","+4.0","+0.13",128,428,"29.9",878,175,"33.3","35.5",224,"60.7","50.2",251,17,"6.8",18,"0.57","14.8","Matches"
"Hugo Lloris","fr FRA","GK","Tottenham",31,1986,"33.0",33,3,1,5,3,"41.3","0.31","+11.3","+0.34",225,481,"46.8",936,153,"37.0","36.0",233,"57.9","47.1",281,14,"5.0",17,"0.52","14.9","Matches"
"Jonas LÃ¶ssl","dk DEN","GK","Huddersfield",29,1989,"30.9",54,4,1,6,0,"46.7","0.32","-7.3","-0.24",308,698,"44.1",883,96,"59.8","45.5",214,"79.4","60.5",218,27,"12.4",21,"0.68","14.4","Matches"
"Alex McCarthy","eng ENG","GK","Southampton",28,1989,"25.0",44,2,0,4,3,"37.0","0.30","-4.0","-0.16",126,434,"29.0",460,77,"61.7","48.5",177,"84.7","64.3",248,23,"9.3",11,"0.44","14.4","Matches"
"Will Norris","eng ENG","GK","Wolves",24,1993,"0.0",0,0,0,0,0,"0.0",,"0.0","0.00",0,0,,0,0,,,0,,,0,0,,0,,,"Matches"
"Rui PatrÃ­cio","pt POR","GK","Wolves",30,1988,"37.0",46,3,1,7,3,"40.0","0.28","-3.0","-0.08",242,572,"42.3",560,107,"60.9","43.7",275,"84.0","57.5",306,20,"6.5",13,"0.35","12.8","Matches"
"Jordan Pickford","eng ENG","GK","Everton",24,1994,"38.0",46,2,2,11,2,"48.1","0.35","+4.1","+0.11",281,764,"36.8",968,150,"58.4","48.3",282,"70.6","60.5",282,25,"8.9",35,"0.92","16.0","Matches"
"Sergio Rico","es ESP","GK","Fulham",24,1993,"29.0",56,4,0,8,2,"52.6","0.31","-1.4","-0.05",259,621,"41.7",618,91,"63.3","46.1",273,"84.2","60.5",306,24,"7.8",11,"0.38","12.9","Matches"
"John Ruddy","eng ENG","GK","Wolves",31,1986,"1.0",0,0,0,0,0,"0.9","0.29","+0.9","+0.87",7,13,"53.8",14,3,"50.0","41.8",7,"85.7","54.6",9,1,"11.1",0,"0.00","8.0","Matches"
"Mathew Ryan","au AUS","GK","Brighton",26,1992,"34.0",55,8,1,6,0,"51.5","0.32","-3.5","-0.10",324,772,"42.0",692,100,"67.3","48.8",325,"94.2","64.4",322,18,"5.6",7,"0.21","12.9","Matches"
"Kasper Schmeichel","dk DEN","GK","Leicester City",31,1986,"38.0",48,5,0,7,0,"46.4","0.30","-1.6","-0.04",329,692,"47.5",903,108,"51.3","41.9",305,"75.1","57.4",338,34,"10.1",16,"0.42","14.2","Matches"
"JuliÃ¡n Speroni","ar ARG","GK","Crystal Palace",39,1979,"1.0",4,0,0,1,0,"3.7","0.41","-0.3","-0.29",13,33,"39.4",23,3,"95.7","57.7",13,"84.6","57.8",9,0,"0.0",0,"0.00","10.6","Matches"
"Mark Travers","ie IRL","GK","Bournemouth",19,1999,"2.0",5,0,0,0,1,"3.1","0.24","-0.9","-0.46",11,23,"47.8",43,14,"37.2","32.7",14,"50.0","44.0",9,0,"0.0",4,"2.00","17.4","Matches"
"Michel Vorm","nl NED","GK","Tottenham",34,1983,"2.0",4,0,0,2,0,"5.5","0.42","+1.5","+0.74",5,12,"41.7",51,17,"15.7","26.2",8,"50.0","42.3",15,1,"6.7",1,"0.50","12.9","Matches"
