"Player","Cmp%"
"Michel Vorm","86.4"
"Mark Travers","75.4"
"JuliÃ¡n Speroni","44.4"
"Kasper Schmeichel","68.3"
"Mathew Ryan","54.2"
"John Ruddy","71.4"
"Sergio Rico","58.2"
"Jordan Pickford","59.8"
"Rui PatrÃ­cio","59.0"
"Alex McCarthy","49.9"
"Jonas LÃ¶ssl","63.2"
"Hugo Lloris","76.1"
"Bernd Leno","70.7"
"Wayne Hennessey","53.1"
"Tom Heaton","48.5"
"Joe Hart","45.2"
"Ben Hamer","46.9"
"Angus Gunn","38.8"
"Vicente Guaita","50.2"
"David de Gea","65.5"
"Paulo Gazzaniga","66.7"
"Ben Foster","48.3"
"Fraser Forster","43.5"
"Fabricio","68.0"
"Åukasz FabiaÅ„ski","54.1"
"Neil Etheridge","33.3"
"Ederson","85.7"
"Martin DÃºbravka","59.5"
"Joel Coleman","32.4"
"Petr ÄŒech","69.4"
"Willy Caballero","81.0"
"David Button","44.4"
"Artur Boruc","64.3"
"Marcus Bettinelli","65.0"
"Asmir BegoviÄ‡","68.1"
"Kepa Arrizabalaga","85.7"
"Alisson","82.3"
