Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Emil Audero,it ITA,GK,Sampdoria,21,1997,36.0,51,7,2,6,1,51.6,0.32,+1.6,+0.04,144,428,33.6,863,186,32.1,31.8,295,51.2,41.9,389,33,8.5,25,0.69,15.0,Matches
Francesco Bardi,it ITA,GK,Frosinone,26,1992,3.0,5,0,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,59,15,49.2,40.2,15,73.3,54.8,24,4,16.7,0,0.00,10.4,Matches
Etrit Berisha,al ALB,GK,Atalanta,29,1989,18.0,26,1,1,5,3,22.3,0.34,+0.3,+0.02,90,214,42.1,347,94,32.0,33.5,129,79.8,55.3,144,20,13.9,16,0.89,15.9,Matches
Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2.0,1,0,0,0,0,0.2,0.10,+0.2,+0.10,13,30,43.3,49,8,42.9,36.9,15,60.0,45.4,13,1,7.7,0,0.00,12.6,Matches
Andrea Consigli,it ITA,GK,Sassuolo,31,1987,35.7,57,4,0,11,2,48.3,0.30,-5.7,-0.16,225,524,42.9,890,161,43.0,36.7,282,50.0,40.7,369,24,6.5,18,0.50,14.1,Matches
Alessio Cragno,it ITA,GK,Cagliari,24,1994,38.0,54,8,1,5,2,56.3,0.25,+4.3,+0.11,356,766,46.5,891,172,53.5,42.0,361,80.1,58.2,449,34,7.6,11,0.29,12.9,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,19,1999,34.3,32,3,1,5,1,35.0,0.27,+5.0,+0.14,196,373,52.5,869,194,27.5,30.1,292,45.9,39.5,364,31,8.5,14,0.41,13.8,Matches
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Empoli,20,1997,14.0,24,3,0,3,0,26.1,0.26,+2.1,+0.15,72,222,32.4,329,95,41.9,38.4,152,55.3,48.0,157,7,4.5,9,0.64,13.6,Matches
Pierluigi Frattali,it ITA,GK,Parma,32,1985,1.0,2,0,0,0,0,2.0,0.23,0.0,+0.04,5,16,31.3,23,6,34.8,35.5,15,53.3,41.7,13,1,7.7,0,0.00,7.4,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,23,1995,20.0,21,3,2,1,0,19.0,0.25,-2.0,-0.10,108,276,39.1,454,81,38.3,36.7,132,77.3,57.8,153,8,5.2,17,0.85,15.9,Matches
Alfred Gomis,sn SEN,GK,SPAL,24,1993,19.2,27,1,0,7,0,24.4,0.32,-2.6,-0.14,109,299,36.5,536,120,39.9,36.9,146,58.2,46.2,159,11,6.9,8,0.42,13.2,Matches
