"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Emil Audero","it ITA","GK","Sampdoria",21,1997,36,36,"3,24","36.0",51,"1.42",142,98,"69.0",14,7,15,11,"30.6",8,7,1,0,"12.5","Matches"
"Francesco Bardi","it ITA","GK","Frosinone",26,1992,3,3,270,"3.0",5,"1.67",11,6,"54.5",0,1,2,1,"33.3",0,0,0,0,,"Matches"
"Etrit Berisha","al ALB","GK","Atalanta",29,1989,18,18,"1,62","18.0",26,"1.44",64,43,"60.9",9,3,6,5,"27.8",2,1,0,1,"0.0","Matches"
"Rafael Cabral","br BRA","GK","Sampdoria",28,1990,2,2,180,"2.0",1,"0.50",2,2,"50.0",1,1,0,2,"100.0",0,0,0,0,,"Matches"
"Andrea Consigli","it ITA","GK","Sassuolo",31,1987,36,36,"3,213","35.7",57,"1.60",144,94,"63.2",9,15,12,12,"33.3",8,4,3,1,"42.9","Matches"
"Alessio Cragno","it ITA","GK","Cagliari",24,1994,38,38,"3,42","38.0",54,"1.42",195,147,"76.4",10,11,17,7,"18.4",10,8,2,0,"20.0","Matches"
"Gianluigi Donnarumma","it ITA","GK","Milan",19,1999,36,36,"3,092","34.3",32,"0.93",121,94,"76.0",18,11,7,11,"30.6",4,3,1,0,"25.0","Matches"
"BartÅ‚omiej DrÄ…gowski","pl POL","GK","Empoli",20,1997,14,14,"1,26","14.0",24,"1.71",91,70,"76.9",5,2,7,3,"21.4",4,3,1,0,"25.0","Matches"
"Pierluigi Frattali","it ITA","GK","Parma",32,1985,1,1,90,"1.0",2,"2.00",9,7,"77.8",0,0,1,0,"0.0",0,0,0,0,,"Matches"
"Pierluigi Gollini","it ITA","GK","Atalanta",23,1995,20,20,"1,8","20.0",21,"1.05",68,50,"73.5",11,6,3,4,"20.0",3,3,0,0,"0.0","Matches"
