"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"RÃºnar Alex RÃºnarsson","is ISL","GK","Dijon",24,1995,"10.0",17,0,0,3,1,"13.0","0.28","-3.0","-0.30",61,145,"42.1",246,54,"37.8","35.9",81,"64.2","49.2",90,8,"8.9",5,"0.50","14.1","Matches"
"Alphonse Areola","fr FRA","GK","Paris S-G",26,1993,"3.0",2,0,0,0,0,"1.8","0.46","-0.2","-0.05",3,4,"75.0",48,9,"4.2","20.0",10,"20.0","24.5",15,0,"0.0",6,"2.00","23.8","Matches"
"Stefan Bajic","fr FRA","GK","Saint-Ã‰tienne",17,2001,"1.0",1,0,0,0,0,"0.3","0.14","-0.7","-0.72",3,3,"100.0",11,4,"0.0","21.1",8,"37.5","34.8",6,0,"0.0",2,"2.00","20.4","Matches"
"Walter BenÃ­tez","ar ARG","GK","Nice",26,1993,"26.0",36,4,0,7,2,"44.6","0.32","+10.6","+0.41",87,203,"42.9",573,132,"22.7","27.6",212,"34.4","34.0",256,18,"7.0",9,"0.35","14.0","Matches"
"Paul Bernardoni","fr FRA","GK","NÃ®mes",22,1997,"24.5",38,4,0,3,1,"33.2","0.31","-3.8","-0.16",134,407,"32.9",529,77,"51.2","42.4",176,"77.3","55.4",166,14,"8.4",14,"0.57","15.2","Matches"
"Dimitry Bertaud","fr FRA","GK","Montpellier",21,1998,"2.2",3,0,0,1,0,"1.6","0.26","-1.4","-0.66",15,23,"65.2",49,19,"32.7","31.5",18,"38.9","39.4",13,1,"7.7",2,"0.92","14.3","Matches"
"Ludovic Butelle","fr FRA","GK","Angers",36,1983,"26.0",32,3,1,1,1,"24.4","0.28","-6.6","-0.25",149,384,"38.8",493,114,"47.5","39.8",203,"73.9","52.5",185,15,"8.1",21,"0.81","14.9","Matches"
"Marcin BuÅ‚ka","pl POL","GK","Paris S-G",19,1999,"1.0",0,0,0,0,0,"0.2","0.10","+0.2","+0.21",0,0,,12,3,"0.0","18.6",6,"0.0","23.5",5,0,"0.0",0,"0.00","6.5","Matches"
"Matis Carvalho","pt POR","GK","Montpellier",20,1999,"0.8",4,0,0,1,1,"1.9","0.24","-1.1","-1.43",2,16,"12.5",18,3,"55.6","49.2",9,"66.7","50.0",3,1,"33.3",0,"0.00","15.5","Matches"
"Yannis Clementia","fr FRA","GK","Nice",22,1997,"2.0",2,1,0,0,0,"1.9","0.19","-0.1","-0.03",3,23,"13.0",47,16,"29.8","33.3",14,"64.3","50.6",28,0,"0.0",0,"0.00","10.8","Matches"
"BenoÃ®t Costil","fr FRA","GK","Bordeaux",32,1987,"28.0",34,2,0,4,1,"31.2","0.27","-1.8","-0.07",207,446,"46.4",642,96,"48.0","38.8",244,"56.6","43.7",273,16,"5.9",16,"0.57","14.5","Matches"
"Paul Delecroix","fr FRA","GK","Metz",30,1988,"1.5",4,1,0,0,0,"2.6","0.32","-1.4","-0.95",15,32,"46.9",33,4,"72.7","49.7",11,"72.7","57.4",6,1,"16.7",2,"1.33","16.3","Matches"
"Lucas Dias","fr FRA","GK","NÃ®mes",20,1999,"3.5",6,0,1,2,0,"6.5","0.39","+0.5","+0.15",27,72,"37.5",58,5,"62.1","45.9",39,"92.3","62.9",37,2,"5.4",3,"0.85","14.0","Matches"
"Mauro Goicoechea","uy URU","GK","Toulouse",31,1988,"2.0",5,0,0,0,0,"4.4","0.34","-0.6","-0.32",21,48,"43.8",44,4,"70.5","46.4",20,"85.0","51.8",14,0,"0.0",1,"0.50","17.4","Matches"
