Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rǧnar Alex Rǧnarsson,is ISL,GK,Dijon,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,,Matches
Stefan Bajic,fr FRA,GK,Saint-�?tienne,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Walter Ben��tez,ar ARG,GK,Nice,26,1993,26,26,"2,34",26.0,36,1.38,129,99,75.2,9,8,9,4,15.4,6,4,1,1,20.0,Matches
Paul Bernardoni,fr FRA,GK,Nǩmes,22,1997,25,25,"2,204",24.5,38,1.55,102,69,66.7,7,4,14,6,24.0,4,4,0,0,0.0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,21,1998,3,3,196,2.2,3,1.38,6,3,50.0,0,0,3,0,0.0,0,0,0,0,,Matches
Ludovic Butelle,fr FRA,GK,Angers,36,1983,26,26,"2,34",26.0,32,1.23,78,50,62.8,10,6,10,11,42.3,3,3,0,0,0.0,Matches
"Marcin Bu�,ka",pl POL,GK,Paris S-G,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Matis Carvalho,pt POR,GK,Montpellier,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,,Matches
Yannis Clementia,fr FRA,GK,Nice,22,1997,2,2,180,2.0,2,1.00,6,5,83.3,2,0,0,0,0.0,1,1,0,0,0.0,Matches
Benoǩt Costil,fr FRA,GK,Bordeaux,32,1987,28,28,"2,52",28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3,Matches
Paul Delecroix,fr FRA,GK,Metz,30,1988,2,1,135,1.5,4,2.67,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Lucas Dias,fr FRA,GK,Nǩmes,20,1999,4,3,316,3.5,6,1.71,18,12,66.7,0,2,1,1,33.3,0,0,0,0,,Matches
Mauro Goicoechea,uy URU,GK,Toulouse,31,1988,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,,Matches
Alfred Gomis,sn SEN,GK,Dijon,25,1993,19,19,"1,62",18.0,20,1.11,83,65,77.1,6,7,6,6,31.6,1,1,0,0,0.0,Matches
RǸgis Gurtner,fr FRA,GK,Amiens,32,1986,28,28,"2,52",28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0,Matches
Lovre Kalini�?,hr CRO,GK,Toulouse,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,,Matches
Alban Lafont,fr FRA,GK,Nantes,20,1999,27,27,"2,43",27.0,29,1.07,91,65,71.4,11,4,12,10,37.0,6,3,2,1,40.0,Matches
Gautier Larsonneur,fr FRA,GK,Brest,22,1997,27,27,"2,398",26.6,34,1.28,128,95,75.8,7,10,10,7,25.9,5,3,1,1,25.0,Matches
Benjamin Lecomte,fr FRA,GK,Monaco,28,1991,28,28,"2,52",28.0,44,1.57,132,95,71.2,11,7,10,7,25.0,6,6,0,0,0.0,Matches
Nicolas Lemaitre,fr FRA,GK,Reims,22,1997,1,1,90,1.0,3,3.00,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Donovan LǸon,gf GUF,GK,Brest,26,1992,2,1,122,1.4,3,2.21,10,8,80.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches
Anthony Lopes,pt POR,GK,Lyon,28,1990,26,26,"2,34",26.0,25,0.96,85,64,72.9,10,7,9,8,30.8,3,2,0,1,0.0,Matches
