"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"AdriÃ¡n","es ESP","GK","Liverpool",32,1987,11,9,875,"9.7",10,"1.03",28,17,"64.3",9,0,0,2,"22.2",0,0,0,0,,"Matches"
"Alisson","br BRA","GK","Liverpool",26,1992,29,29,"2,543","28.3",23,"0.81",79,58,"72.2",23,3,3,13,"44.8",1,1,0,0,"0.0","Matches"
"Kepa Arrizabalaga","es ESP","GK","Chelsea",24,1994,33,33,"2,97","33.0",47,"1.42",99,55,"54.5",18,4,11,8,"24.2",2,2,0,0,"0.0","Matches"
"Claudio Bravo","cl CHI","GK","Manchester City",36,1983,4,3,347,"3.9",7,"1.82",15,8,"53.3",2,0,1,1,"33.3",0,0,0,0,,"Matches"
"Willy Caballero","ar ARG","GK","Chelsea",37,1981,5,5,450,"5.0",7,"1.40",16,10,"56.3",2,2,1,1,"20.0",0,0,0,0,,"Matches"
"Martin DÃºbravka","sk SVK","GK","Newcastle Utd",30,1989,38,38,"3,42","38.0",58,"1.53",190,134,"70.5",11,11,16,11,"28.9",2,2,0,0,"0.0","Matches"
"Ederson","br BRA","GK","Manchester City",25,1993,35,35,"3,071","34.1",28,"0.82",92,65,"72.8",24,3,8,16,"45.7",3,3,0,0,"0.0","Matches"
"Åukasz FabiaÅ„ski","pl POL","GK","West Ham",34,1985,25,25,"2,117","23.5",34,"1.45",98,69,"68.4",8,7,10,5,"20.0",4,3,1,0,"25.0","Matches"
"Ralf FÃ¤hrmann","de GER","GK","Norwich City",30,1988,1,1,21,"0.2",1,"4.29",1,1,"100.0",0,0,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Ben Foster","eng ENG","GK","Watford",36,1983,38,38,"3,42","38.0",64,"1.68",166,109,"66.3",8,10,20,9,"23.7",9,8,1,0,"11.1","Matches"
"Paulo Gazzaniga","ar ARG","GK","Tottenham",27,1992,18,17,"1,613","17.9",26,"1.45",79,56,"70.9",5,5,7,2,"11.8",4,3,1,0,"25.0","Matches"
"David de Gea","es ESP","GK","Manchester Utd",28,1990,38,38,"3,42","38.0",36,"0.95",125,92,"73.6",18,12,8,13,"34.2",3,3,0,0,"0.0","Matches"
"Vicente Guaita","es ESP","GK","Crystal Palace",32,1987,35,35,"3,15","35.0",42,"1.20",147,106,"71.4",11,9,15,10,"28.6",1,0,0,1,,"Matches"
"Angus Gunn","eng ENG","GK","Southampton",23,1996,10,10,900,"10.0",25,"2.50",53,30,"56.6",2,2,6,2,"20.0",2,2,0,0,"0.0","Matches"
"Tom Heaton","eng ENG","GK","Aston Villa",33,1986,20,20,"1,794","19.9",35,"1.76",99,67,"67.7",6,3,11,4,"20.0",3,3,0,0,"0.0","Matches"
"Dean Henderson","eng ENG","GK","Sheffield Utd",22,1997,36,36,"3,24","36.0",33,"0.92",129,97,"75.2",14,11,11,13,"36.1",3,1,1,1,"50.0","Matches"
"Wayne Hennessey","wal WAL","GK","Crystal Palace",32,1987,3,3,270,"3.0",8,"2.67",22,14,"63.6",0,1,2,0,"0.0",0,0,0,0,,"Matches"
"Tim Krul","nl NED","GK","Norwich City",31,1988,36,36,"3,24","36.0",68,"1.89",189,123,"65.6",5,6,25,5,"13.9",5,3,2,0,"40.0","Matches"
"Bernd Leno","de GER","GK","Arsenal",27,1992,30,30,"2,649","29.4",39,"1.33",147,110,"77.6",9,13,8,7,"23.3",7,6,1,0,"14.3","Matches"
"Hugo Lloris","fr FRA","GK","Tottenham",32,1986,21,21,"1,807","20.1",21,"1.05",93,74,"79.6",11,6,4,6,"28.6",3,2,1,0,"33.3","Matches"
"David Martin","eng ENG","GK","West Ham",33,1986,5,4,436,"4.8",6,"1.24",20,14,"70.0",2,0,2,2,"50.0",0,0,0,0,,"Matches"
"Emiliano MartÃ­nez","ar ARG","GK","Arsenal",26,1992,9,8,771,"8.6",9,"1.05",42,33,"81.0",5,1,2,3,"37.5",1,1,0,0,"0.0","Matches"
"Alex McCarthy","eng ENG","GK","Southampton",29,1989,28,28,"2,52","28.0",35,"1.25",110,77,"69.1",13,5,10,7,"25.0",2,1,1,0,"50.0","Matches"
"Michael McGovern","nir NIR","GK","Norwich City",35,1984,2,1,159,"1.8",6,"3.40",11,5,"45.5",0,0,1,0,"0.0",1,0,1,0,"100.0","Matches"
