"Player","Cmp%"
"Mauro Vigorito","71.2"
"Samir Ujkani","84.6"
"Stefano Turati","84.3"
"Demba Thiam","76.1"
"Pietro Terracciano","69.0"
"Wojciech SzczÄ™sny","86.2"
"Thomas Strakosha","77.9"
"Marco Sportiello","85.5"
"Åukasz Skorupski","75.7"
"Salvatore Sirigu","70.6"
"Marco Silvestri","45.4"
"Luigi Sepe","73.9"
"Francesco Rossi","100.0"
"Antonio Rosati","73.0"
"Pepe Reina","73.0"
"Rafael","69.9"
"Boris RadunoviÄ‡","60.7"
"IonuÈ› Radu","81.2"
"Carlo Pinsoglio","100.0"
"Mattia Perin","62.0"
"Gianluca Pegolo","82.3"
"Daniele Padelli","83.5"
"David Ospina","87.2"
"Robin Olsen","64.8"
"Juan Musso","74.9"
"Antonio Mirante","81.4"
"Alex Meret","84.5"
"Pau LÃ³pez","78.7"
"Karlo Letica","63.3"
"Jesse Joronen","67.5"
"Samir HandanoviÄ‡","86.7"
"Pierluigi Gollini","74.9"
"Gabriel","76.7"
"Daniel Fuzato","68.2"
"Wladimiro Falcone","63.9"
"BartÅ‚omiej DrÄ…gowski","71.6"
"Gianluigi Donnarumma","76.4"
"Alessio Cragno","64.2"
"Angelo da Costa JÃºnior","89.3"
"Andrea Consigli","78.2"
"Simone Colombi","83.7"
"Gianluigi Buffon","92.0"
"Federico Brancolini","100.0"
"Etrit Berisha","70.5"
"Asmir BegoviÄ‡","80.6"
"Emil Audero","63.6"
"Lorenzo Andrenacci","78.5"
"Enrico Alfonso","70.7"
