Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Saturnin AllagbÃ©,bj BEN,GK,Dijon,26,1993,12.0,30,1,1,3,1,20.2,0.29,-8.8,-0.73,79,210,37.6,301,70,48.2,38.4,104,62.5,46.2,105,4,3.8,13,1.08,14.8
Stefan Bajic,fr FRA,GK,Saint-Ã‰tienne,18,2001,1.0,4,0,0,0,0,1.8,0.44,-2.2,-2.23,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,0.00,13.6
Walter BenÃ­tez,ar ARG,GK,Nice,27,1993,38.0,53,7,0,12,0,48.3,0.25,-4.7,-0.12,129,346,37.3,924,170,25.6,29.6,302,36.1,34.7,355,25,7.0,17,0.45,13.3
Paul Bernardoni,fr FRA,GK,Angers,23,1997,38.0,58,7,0,6,1,49.9,0.33,-7.1,-0.19,177,512,34.6,720,210,43.9,38.9,269,72.9,52.8,318,24,7.5,11,0.29,13.1
Dimitry Bertaud,fr FRA,GK,Montpellier,22,1998,8.3,11,1,0,1,0,12.0,0.29,+1.0,+0.12,110,198,55.6,231,44,56.7,43.2,82,81.7,57.8,97,13,13.4,2,0.24,11.6
Marcin BuÅ‚ka,pl POL,GK,Paris S-G,20,1999,1.0,1,0,0,0,0,1.3,0.45,+0.3,+0.32,2,5,40.0,28,9,17.9,25.5,2,0.0,21.5,7,0,0.0,2,2.00,13.1
Marc-AurÃ¨le Caillard,fr FRA,GK,Metz,26,1994,4.0,10,3,1,1,0,9.2,0.33,-0.8,-0.20,17,48,35.4,71,27,35.2,33.2,30,76.7,59.7,29,4,13.8,2,0.50,14.6
SÃ©bastien Cibois,fr FRA,GK,Brest,22,1998,3.0,4,1,0,0,0,5.0,0.45,+1.0,+0.34,14,37,37.8,68,13,41.2,38.5,22,40.9,39.8,28,3,10.7,2,0.67,14.2
BenoÃ®t Costil,fr FRA,GK,Bordeaux,33,1987,38.0,57,7,2,6,1,46.8,0.27,-8.2,-0.22,318,690,46.1,1035,144,47.3,39.2,291,68.7,50.6,324,18,5.6,21,0.55,13.7
Yehvann Diouf,fr FRA,GK,Reims,20,1999,1.5,1,1,0,0,0,1.0,0.03,0.0,+0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39.0,11,0,0.0,1,0.67,15.3
Matthieu Dreyer,fr FRA,GK,Lorient,31,1989,15.0,25,6,1,3,1,20.5,0.32,-3.5,-0.23,76,201,37.8,253,43,48.6,40.4,108,72.2,48.6,111,7,6.3,6,0.40,12.8
Wuilker FarÃ­Ã±ez,ve VEN,GK,Lens,22,1998,1.2,3,1,0,1,0,4.2,0.53,+1.2,+0.99,2,11,18.2,18,3,44.4,40.9,9,33.3,29.9,9,0,0.0,1,0.84,13.9
Alfred Gomis,sn SEN,GK,Rennes,26,1993,22.0,25,3,0,0,0,25.3,0.32,+0.3,+0.01,99,229,43.2,538,115,29.6,31.0,131,53.4,43.9,158,17,10.8,17,0.77,15.3
Etienne Green,fr FRA,GK,Saint-Ã‰tienne,20,2000,8.0,8,2,1,0,0,8.5,0.27,+0.5,+0.06,44,129,34.1,149,31,52.3,42.4,70,72.9,55.3,75,5,6.7,5,0.63,13.3
Bingourou Kamara,sn SEN,GK,Strasbourg,23,1996,8.0,14,1,0,1,1,9.7,0.28,-3.3,-0.41,63,142,44.4,191,43,48.7,39.3,56,87.5,60.0,58,3,5.2,1,0.13,12.9
