Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
Saturnin AllagbÃ©,bj BEN,GK,Dijon,26,1993,12,12,"1,08",12.0,30,2.50,64,35,54.7,2,2,8,3,25.0,3,1,1,1,50.0
Stefan Bajic,fr FRA,GK,Saint-Ã‰tienne,18,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,
Walter BenÃ­tez,ar ARG,GK,Nice,27,1993,38,38,"3,42",38.0,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0.0
Paul Bernardoni,fr FRA,GK,Angers,23,1997,38,38,"3,42",38.0,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5
Dimitry Bertaud,fr FRA,GK,Montpellier,22,1998,9,7,745,8.3,11,1.33,40,29,75.0,4,2,1,3,42.9,1,1,0,0,0.0
Marcin BuÅ‚ka,pl POL,GK,Paris S-G,20,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Marc-AurÃ¨le Caillard,fr FRA,GK,Metz,26,1994,5,4,361,4.0,10,2.49,20,13,65.0,0,1,3,0,0.0,3,3,0,0,0.0
SÃ©bastien Cibois,fr FRA,GK,Brest,22,1998,3,3,270,3.0,4,1.33,10,7,70.0,1,1,1,1,33.3,1,1,0,0,0.0
BenoÃ®t Costil,fr FRA,GK,Bordeaux,33,1987,38,38,"3,42",38.0,57,1.50,148,98,66.2,13,6,19,14,36.8,8,7,1,0,12.5
Yehvann Diouf,fr FRA,GK,Reims,20,1999,2,1,135,1.5,1,0.67,5,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0
Matthieu Dreyer,fr FRA,GK,Lorient,31,1989,15,15,"1,35",15.0,25,1.67,51,33,62.7,5,5,5,2,13.3,6,6,0,0,0.0
Wuilker FarÃ­Ã±ez,ve VEN,GK,Lens,22,1998,3,1,107,1.2,3,2.52,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Alfred Gomis,sn SEN,GK,Rennes,26,1993,22,22,"1,98",22.0,25,1.14,73,50,69.9,7,5,10,5,22.7,4,3,0,1,0.0
Etienne Green,fr FRA,GK,Saint-Ã‰tienne,20,2000,8,8,720,8.0,8,1.00,24,18,75.0,4,1,3,3,37.5,4,2,1,1,33.3
Bingourou Kamara,sn SEN,GK,Strasbourg,23,1996,8,8,720,8.0,14,1.75,31,19,58.1,2,0,6,2,25.0,1,1,0,0,0.0
Eiji Kawashima,jp JPN,GK,Strasbourg,37,1983,24,24,"2,16",24.0,31,1.29,91,62,69.2,8,7,9,8,33.3,5,3,1,1,25.0
Alban Lafont,fr FRA,GK,Nantes,21,1999,38,38,"3,42",38.0,55,1.45,158,113,71.5,9,13,16,5,13.2,13,10,2,1,16.7
Gautier Larsonneur,fr FRA,GK,Brest,23,1997,35,35,"3,15",35.0,62,1.77,159,104,66.0,10,7,18,6,17.1,10,8,1,1,11.1
Jean-Louis Leca,fr FRA,GK,Lens,34,1985,37,37,"3,313",36.8,51,1.39,128,89,68.0,15,12,10,8,21.6,11,10,1,0,9.1
Benjamin Lecomte,fr FRA,GK,Monaco,29,1991,28,28,"2,52",28.0,27,0.96,62,39,61.3,18,5,5,13,46.4,3,3,0,0,0.0
Anthony Lopes,pt POR,GK,Lyon,29,1990,38,38,"3,42",38.0,43,1.13,130,94,70.8,22,10,6,11,28.9,8,5,2,1,28.6
Mike Maignan,fr FRA,GK,Lille,24,1995,38,38,"3,42",38.0,23,0.61,107,86,79.4,24,11,3,21,55.3,2,1,1,0,50.0
RadosÅ‚aw Majecki,pl POL,GK,Monaco,20,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Steve Mandanda,fr FRA,GK,Marseille,35,1985,37,37,"3,33",37.0,45,1.22,126,85,66.7,16,12,9,8,21.6,3,3,0,0,0.0
Vito Mannone,it ITA,GK,Monaco,32,1988,9,9,810,9.0,14,1.56,30,18,60.0,5,1,3,2,22.2,2,2,0,0,0.0
Jessy Moulin,fr FRA,GK,Saint-Ã‰tienne,34,1986,29,29,"2,61",29.0,42,1.45,100,61,62.0,8,9,12,9,31.0,4,4,0,0,0.0
Paul Nardi,fr FRA,GK,Lorient,26,1994,23,23,"2,07",23.0,44,1.91,108,69,63.0,6,4,13,3,13.0,6,4,1,1,20.0
Keylor Navas,cr CRC,GK,Paris S-G,33,1986,29,29,"2,52",28.0,18,0.64,89,71,80.9,21,3,5,15,51.7,2,1,1,0,50.0
Jonas Omlin,ch SUI,GK,Montpellier,26,1994,31,31,"2,673",29.7,51,1.72,147,107,72.8,10,10,11,2,6.5,11,11,0,0,0.0
Alexandre Oukidja,dz ALG,GK,Metz,32,1988,34,34,"3,058",34.0,39,1.15,117,87,74.4,12,10,12,8,23.5,10,9,1,0,10.0
Yohann PelÃ©,fr FRA,GK,Marseille,37,1982,1,1,90,1.0,2,2.00,5,2,60.0,0,0,1,0,0.0,0,0,0,0,
Anthony Racioppi,ch SUI,GK,Dijon,21,1998,21,21,"1,89",21.0,33,1.57,93,63,67.7,2,6,13,3,14.3,4,3,1,0,25.0
