Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Ãngel,es ESP,GK,Granada,18,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3
Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,41,7,0,4,2,34.8,0.25,-3.2,-0.09,210,462,45.5,1022,189,31.3,33.7,285,49.8,43.1,427,42,9.8,21,0.58,13.8
Ã‰dgar BadÃ­a,es ESP,GK,Elche,28,1992,30.0,46,5,0,5,0,45.6,0.30,-0.4,-0.01,262,518,50.6,864,143,39.5,35.9,283,62.5,43.3,302,23,7.6,20,0.67,13.3
RubÃ©n Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9
Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,28,4,0,4,2,25.8,0.22,-0.2,-0.01,199,419,47.5,897,141,34.0,35.0,199,57.3,44.2,284,32,11.3,23,0.70,15.6
Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,25,4,0,2,1,27.1,0.34,+3.1,+0.16,139,358,38.8,519,81,52.4,43.0,130,66.2,51.3,186,10,5.4,8,0.40,12.8
CÃ¡rdenas,es ESP,GK,Levante,23,1997,8.0,11,0,0,0,0,11.4,0.28,+0.4,+0.05,45,104,43.3,207,42,38.2,35.9,57,43.9,37.2,88,5,5.7,9,1.13,15.2
Alberto Cifuentes,es ESP,GK,CÃ¡diz,41,1979,2.0,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1.00,14.3
Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,11,1,1,0,0,12.1,0.23,+1.1,+0.11,71,198,35.9,222,41,59.0,45.0,95,70.5,54.2,123,8,6.5,8,0.80,13.4
Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,28,7,0,3,1,29.9,0.22,+2.9,+0.08,136,351,38.7,1074,234,24.1,32.2,233,39.5,39.2,286,27,9.4,24,0.63,15.0
Marko DmitroviÄ‡,rs SRB,GK,Eibar,28,1992,34.7,49,3,0,5,0,46.9,0.34,-2.1,-0.06,304,786,38.7,839,98,68.3,54.6,235,90.6,72.7,253,20,7.9,41,1.18,16.8
Jaume DomÃ©nech,es ESP,GK,Valencia,29,1990,28.0,42,4,2,7,2,39.2,0.28,-0.8,-0.03,264,525,50.3,654,105,53.4,40.8,243,72.4,53.4,325,21,6.5,15,0.54,13.0
AarÃ³n Escandell,es ESP,GK,Granada,24,1995,5.0,8,0,0,0,0,9.6,0.42,+1.6,+0.33,38,113,33.6,118,13,72.9,52.1,33,81.8,64.6,45,3,6.7,12,2.40,18.0
Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1.0,2,0,0,0,0,1.0,0.33,-1.0,-1.01,1,4,25.0,17,6,11.8,26.6,7,28.6,34.7,10,0,0.0,1,1.00,13.5
Aitor FernÃ¡ndez,es ESP,GK,Levante,29,1991,29.0,44,3,1,6,2,38.8,0.31,-3.2,-0.11,124,330,37.6,716,150,38.3,36.2,205,27.3,30.0,255,18,7.1,27,0.93,14.9
Ãlvaro FernÃ¡ndez,es ESP,GK,Huesca,22,1998,22.0,32,2,0,7,1,30.0,0.31,-1.0,-0.05,136,329,41.3,647,108,40.0,37.5,171,40.9,39.4,188,11,5.9,15,0.68,16.3
AndrÃ©s FernÃ¡ndez,es ESP,GK,Huesca,33,1986,16.0,21,3,1,3,1,16.9,0.29,-3.1,-0.19,91,260,35.0,445,70,44.3,38.0,121,52.1,42.1,167,13,7.8,7,0.44,12.2
