Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
NÃ­colas Andrade,br BRA,GK,Udinese,32,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,54,7,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,995,175,44.6,38.5,261,64.4,47.3,381,30,7.9,15,0.41,12.7,Matches
Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,0,0,0.0,0.05,0.0,+0.15,3,10,30.0,7,0,85.7,46.1,4,100.0,68.5,5,1,20.0,0,0.00,,Matches
Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,5,2,1,0,0,5.0,0.16,0.0,0.00,33,74,44.6,242,44,24.4,30.0,62,24.2,26.6,81,2,2.5,5,0.63,14.0,Matches
Simone Colombi,it ITA,GK,Parma,29,1991,2.0,7,1,0,3,0,4.9,0.46,-2.1,-1.07,16,30,53.3,39,6,56.4,41.0,11,72.7,50.2,13,1,7.7,1,0.50,13.0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37.0,56,4,0,4,1,57.5,0.30,+2.5,+0.07,186,409,45.5,1123,161,30.9,30.9,235,26.4,25.9,327,29,8.9,26,0.70,15.9,Matches
Alex Cordaz,it ITA,GK,Crotone,37,1983,36.0,91,5,2,10,2,76.4,0.36,-12.6,-0.35,248,606,40.9,1136,160,42.1,35.4,310,41.3,34.1,318,18,5.7,30,0.83,15.1,Matches
Angelo da Costa JÃºnior,br BRA,GK,Bologna,36,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26,1994,34.0,53,5,1,7,0,55.2,0.29,+2.2,+0.06,206,485,42.5,683,129,46.3,37.1,279,60.6,43.6,320,31,9.7,15,0.44,12.8,Matches
Gian Crespi,it ITA,GK,Crotone,19,2001,1.0,0,0,0,0,0,0.4,0.38,+0.4,+0.38,8,13,61.5,31,4,32.3,27.0,11,27.3,31.2,8,0,0.0,0,0.00,9.2,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37.0,38,2,2,7,1,39.7,0.30,+2.7,+0.07,183,431,42.5,1026,140,33.2,32.3,219,41.1,35.9,335,29,8.7,22,0.59,14.8,Matches
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Fiorentina,22,1997,35.0,55,8,1,10,1,53.6,0.35,-0.4,-0.01,229,566,40.5,802,165,52.0,41.9,260,57.3,45.3,335,24,7.2,17,0.49,14.2,Matches
Marco Festa,it ITA,GK,Crotone,28,1992,1.0,1,0,0,0,0,1.6,0.20,+0.6,+0.61,9,15,60.0,28,9,35.7,34.4,10,50.0,37.7,12,1,8.3,1,1.00,10.6,Matches
Daniel Fuzato,br BRA,GK,Roma,23,1997,5.0,7,0,0,1,0,7.0,0.27,0.0,0.00,20,57,35.1,122,28,36.1,37.0,31,41.9,38.0,28,1,3.6,1,0.20,12.8,Matches
Manuel Gasparini,it ITA,GK,Udinese,18,2002,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,100.0,48.0,1,0.0,21.0,0,0,,0,0.00,,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,24.0,26,4,0,3,1,24.7,0.32,-0.3,-0.01,117,270,43.3,550,82,34.5,35.4,118,67.8,52.5,135,7,5.2,23,0.96,16.3,Matches
Samir HandanoviÄ‡,si SVN,GK,Inter,36,1984,36.0,33,4,1,3,1,29.5,0.24,-2.5,-0.07,126,261,48.3,913,149,23.0,28.8,177,28.8,31.1,281,16,5.7,14,0.39,12.1,Matches
Karlo Letica,hr CRO,GK,Sampdoria,23,1997,1.0,0,0,0,0,0,0.9,0.90,+0.9,+0.90,2,5,40.0,29,7,13.8,27.0,5,20.0,33.8,12,0,0.0,0,0.00,10.8,Matches
Pau LÃ³pez,es ESP,GK,Roma,25,1994,20.2,29,3,1,4,3,26.7,0.30,+0.7,+0.04,82,200,41.0,562,106,28.6,31.5,101,38.6,36.5,115,8,7.0,16,0.79,16.3,Matches
NiccolÃ² Manfredini,it ITA,GK,Benevento,32,1988,1.0,1,0,0,1,0,1.6,0.33,+0.6,+0.64,1,5,20.0,24,10,8.3,26.1,7,42.9,42.0,13,3,23.1,1,1.00,14.9,Matches
Federico Marchetti,it ITA,GK,Genoa,37,1983,3.7,11,0,0,1,0,8.0,0.42,-3.0,-0.80,13,34,38.2,101,19,17.8,26.8,35,45.7,35.7,27,0,0.0,3,0.81,13.6,Matches
Alex Meret,it ITA,GK,Napoli,23,1997,22.0,29,2,1,3,1,22.8,0.28,-5.2,-0.23,63,117,53.8,511,97,18.0,26.7,96,26.0,28.2,149,15,10.1,6,0.27,13.0,Matches
Vanja MilinkoviÄ‡-SaviÄ‡,rs SRB,GK,Torino,23,1997,5.0,6,1,0,0,0,4.7,0.20,-1.3,-0.26,23,77,29.9,147,18,40.8,40.7,32,53.1,46.8,34,2,5.9,5,1.00,14.2,Matches
Antonio Mirante,it ITA,GK,Roma,37,1983,12.8,19,2,1,0,0,15.9,0.25,-3.1,-0.24,70,149,47.0,346,69,35.3,33.2,90,30.0,29.8,112,2,1.8,15,1.17,15.8,Matches
Lorenzo MontipÃ²,it ITA,GK,Benevento,24,1996,37.0,74,4,0,11,6,64.4,0.36,-3.6,-0.10,249,668,37.3,964,172,51.9,40.8,272,61.8,46.0,375,36,9.6,21,0.57,14.7,Matches
Juan Musso,ar ARG,GK,Udinese,26,1994,35.0,51,13,2,2,0,53.7,0.31,+2.7,+0.08,185,419,44.2,771,171,40.2,35.6,253,43.1,36.4,293,29,9.9,15,0.43,12.9,Matches
David Ospina,co COL,GK,Napoli,31,1988,16.0,12,3,0,0,0,13.2,0.27,+1.2,+0.07,73,155,47.1,483,49,29.6,31.4,56,21.4,25.6,117,11,9.4,12,0.75,15.4,Matches
