Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
NÃ­colas Andrade,br BRA,GK,Udinese,32,1988,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,
Emil Audero,it ITA,GK,Sampdoria,23,1997,37,37,"3,33",37.0,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2
Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8,8,720,8.0,5,0.62,17,14,82.4,7,1,0,3,37.5,3,2,1,0,33.3
Simone Colombi,it ITA,GK,Parma,29,1991,2,2,180,2.0,7,3.50,9,3,33.3,0,0,2,0,0.0,1,1,0,0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37,37,"3,33",37.0,56,1.51,180,127,71.1,17,10,10,7,18.9,5,4,1,0,20.0
Alex Cordaz,it ITA,GK,Crotone,37,1983,36,36,"3,24",36.0,91,2.53,203,115,57.6,6,3,27,2,5.6,5,5,0,0,0.0
Angelo da Costa JÃºnior,br BRA,GK,Bologna,36,1983,6,6,540,6.0,9,1.50,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0.0
Alessio Cragno,it ITA,GK,Cagliari,26,1994,34,34,"3,06",34.0,53,1.56,177,125,72.9,6,10,18,6,17.6,5,5,0,0,0.0
Gian Crespi,it ITA,GK,Crotone,19,2001,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37,37,"3,33",37.0,38,1.03,125,90,71.2,24,6,7,14,37.8,4,2,1,1,33.3
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Fiorentina,22,1997,36,36,"3,148",35.0,55,1.57,128,82,63.3,9,12,15,8,22.2,10,8,2,0,20.0
Marco Festa,it ITA,GK,Crotone,28,1992,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,0,0,0,0,
Daniel Fuzato,br BRA,GK,Roma,23,1997,5,5,450,5.0,7,1.40,26,19,73.1,2,1,2,2,40.0,0,0,0,0,
Manuel Gasparini,it ITA,GK,Udinese,18,2002,1,0,3,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,25,25,"2,156",24.0,26,1.09,61,38,63.9,14,8,3,9,36.0,6,4,2,0,33.3
Samir HandanoviÄ‡,si SVN,GK,Inter,36,1984,37,37,"3,24",36.0,33,0.92,105,76,72.4,27,7,3,14,37.8,6,4,2,0,33.3
Karlo Letica,hr CRO,GK,Sampdoria,23,1997,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Pau LÃ³pez,es ESP,GK,Roma,25,1994,21,20,"1,817",20.2,29,1.44,81,58,67.9,10,4,6,4,20.0,3,3,0,0,0.0
NiccolÃ² Manfredini,it ITA,GK,Benevento,32,1988,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Federico Marchetti,it ITA,GK,Genoa,37,1983,4,4,334,3.7,11,2.96,19,8,42.1,0,1,3,0,0.0,0,0,0,0,
Alex Meret,it ITA,GK,Napoli,23,1997,22,22,"1,98",22.0,29,1.32,79,53,65.8,13,5,4,6,27.3,2,2,0,0,0.0
Vanja MilinkoviÄ‡-SaviÄ‡,rs SRB,GK,Torino,23,1997,5,5,450,5.0,6,1.20,19,14,73.7,2,2,1,1,20.0,1,1,0,0,0.0
Antonio Mirante,it ITA,GK,Roma,37,1983,13,13,"1,153",12.8,19,1.48,54,36,68.5,6,3,4,5,38.5,3,2,1,0,33.3
Lorenzo MontipÃ²,it ITA,GK,Benevento,24,1996,37,37,"3,33",37.0,74,2.00,170,104,58.8,7,11,19,7,18.9,5,4,1,0,20.0
Juan Musso,ar ARG,GK,Udinese,26,1994,35,35,"3,147",35.0,51,1.46,140,102,72.9,9,10,16,8,22.9,13,13,0,0,0.0
David Ospina,co COL,GK,Napoli,31,1988,16,16,"1,44",16.0,12,0.75,39,30,76.9,11,0,5,8,50.0,3,3,0,0,0.0
Daniele Padelli,it ITA,GK,Inter,34,1985,1,0,45,0.5,1,2.00,1,1,100.0,0,0,0,0,,1,1,0,0,0.0
Alberto Paleari,it ITA,GK,Genoa,27,1992,3,2,206,2.3,3,1.31,12,8,75.0,1,0,1,1,50.0,0,0,0,0,
Ivor Pandur,hr CRO,GK,Hellas Verona,20,2000,4,4,332,3.7,6,1.63,13,7,53.8,0,3,1,0,0.0,0,0,0,0,
Gianluca Pegolo,it ITA,GK,Sassuolo,39,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Mattia Perin,it ITA,GK,Genoa,27,1992,32,32,"2,879",32.0,44,1.38,150,112,75.3,9,11,12,8,25.0,7,7,0,0,0.0
Carlo Pinsoglio,it ITA,GK,Juventus,30,1990,1,0,23,0.3,1,3.91,2,1,50.0,0,0,0,0,,0,0,0,0,
Ivan Provedel,it ITA,GK,Spezia,26,1994,29,29,"2,61",29.0,55,1.90,124,74,60.5,6,10,13,4,13.8,7,6,1,0,14.3
IonuÈ› Radu,ro ROU,GK,Inter,23,1997,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
Rafael,br BRA,GK,Spezia,38,1982,3,2,207,2.3,5,2.17,19,14,73.7,0,1,1,1,50.0,0,0,0,0,
Federico Ravaglia,it ITA,GK,Bologna,20,1999,4,4,360,4.0,10,2.50,18,9,50.0,0,1,3,0,0.0,1,1,0,0,0.0
Pepe Reina,es ESP,GK,Lazio,37,1982,29,29,"2,61",29.0,41,1.41,106,74,68.9,18,3,8,9,31.0,8,8,0,0,0.0
Simone Scuffet,it ITA,GK,Udinese,24,1996,1,1,90,1.0,2,2.00,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Luigi Sepe,it ITA,GK,Parma,29,1991,36,36,"3,24",36.0,76,2.11,177,103,58.2,3,11,22,5,13.9,2,2,0,0,0.0
Marco Silvestri,it ITA,GK,Hellas Verona,29,1991,34,34,"3,06",34.0,42,1.24,125,89,71.2,11,9,14,7,20.6,7,6,0,1,0.0
